Species,Estimate,pvalue,padj,highlight
Klebsiella pneumoniae,0.65609791,3.32E-05,0.005602713,4
Klebsiella phage KP36,0.07809443,0.04640972,0.981785079,
Streptococcus anginosus,6.108909063,0.05210954,0.981785079,
Parasutterella excrementihominis,-8.24421897,0.05474061,0.981785079,
Sutterella wadsworthensis,0.34222432,0.05556461,0.981785079,
Odoribacter splanchnicus,-0.832608904,0.0584752,0.981785079,
Collinsella aerofaciens,-1.107787561,0.05852596,0.981785079,
Pyramidobacter piscolens,1.011013893,0.06179198,0.981785079,
Parabacteroides goldsteinii,1.1137306,0.07288397,0.981785079,
Weissella confusa,28.83082192,0.1313382,0.981785079,
Dorea longicatena,-2.504711884,0.1636374,0.981785079,
Alistipes sp AP11,-0.548645724,0.1898458,0.981785079,
Streptococcus salivarius,0.52312584,0.194142,0.981785079,
Eubacterium siraeum,-0.42539714,0.2029501,0.981785079,
Alistipes senegalensis,-1.86302653,0.2067428,0.981785079,
Ruminococcus obeum,-3.265567308,0.2135179,0.981785079,
Lactobacillus delbrueckii,2.99534808,0.2180153,0.981785079,
Paraprevotella clara,-2.519967239,0.2290928,0.981785079,
Lachnospiraceae bacterium 8 1 57FAA,4.37043009,0.2338006,0.981785079,
Bacteroides sp 2 1 22,5.75790709,0.2402949,0.981785079,
Ruminococcus callidus,-1.35890973,0.2454905,0.981785079,
Clostridium bolteae,0.99545953,0.2466882,0.981785079,
Mitsuokella multacida,-0.16958717,0.2556127,0.981785079,
Megamonas funiformis,-12.62216885,0.2565654,0.981785079,
Veillonella dispar,-2.45707943,0.2579607,0.981785079,
Eubacterium hallii,2.32853224,0.2642573,0.981785079,
Barnesiella intestinihominis,-0.23957251,0.2710514,0.981785079,
Bacteroides fragilis,0.06470369,0.2883586,0.981785079,
Streptococcus vestibularis,2.43770512,0.2915123,0.981785079,
Bifidobacterium pseudocatenulatum,1.6032759,0.2919842,0.981785079,
Alistipes putredinis,-0.060109982,0.2989445,0.981785079,
Bacteroidales bacterium ph8,-0.10663898,0.3004372,0.981785079,
Lactobacillus ruminis,-2.44989178,0.3010216,0.981785079,
Bifidobacterium dentium,1.24929714,0.3149701,0.981785079,
Prevotella stercorea,0.07605434,0.3185089,0.981785079,
Fusobacterium varium,-4.88147059,0.3194253,0.981785079,
