Species,Estimate,pvalue,padj,highlight
Bifidobacterium adolescentis,0.086045079,9.62E-05,0.013271916,4
Parabacteroides goldsteinii,0.517085079,0.000157064,0.013271916,4
Lactobacillus mucosae,0.861182608,0.001475491,0.083119326,3
Sutterella parvirubra,2.061427845,0.002263709,0.095641705,
Bacteroides fragilis,0.027168545,0.033235,0.966574657,
Escherichia coli,0.017641986,0.05487282,0.972439676,3
Lactobacillus reuteri,1.229916876,0.06974337,0.972439676,
Lactobacillus ruminis,-0.804627146,0.07988566,0.972439676,
Coprococcus sp ART55 1,-0.156963393,0.08267193,0.972439676,
Bacteroides plebeius,-0.024753876,0.09214114,0.972439676,
Bacteroides vulgatus,0.021693036,0.09289375,0.972439676,
Coprococcus catus,1.485532634,0.09669307,0.972439676,
Bifidobacterium longum,0.059000391,0.1096405,0.972439676,
Bacteroides dorei,-0.01795617,0.1152809,0.972439676,
Bacteroides thetaiotaomicron,0.0236925,0.1231521,0.972439676,
Alistipes onderdonkii,0.020997601,0.1284681,0.972439676,3
Barnesiella intestinihominis,-0.073330768,0.1303611,0.972439676,
Veillonella atypica,-0.389404815,0.138555,0.972439676,
Methanobrevibacter smithii,0.263443624,0.1471687,0.972439676,
Phascolarctobacterium succinatutens,0.116255125,0.1504236,0.972439676,
Eubacterium hallii,0.435538001,0.1521441,0.972439676,
Faecalibacterium prausnitzii,-0.02124054,0.159362,0.972439676,3
Fusobacterium varium,0.520149115,0.1622661,0.972439676,
Bacteroides coprophilus,-0.050658346,0.1627692,0.972439676,
Adlercreutzia equolifaciens,-1.657217244,0.1669016,0.972439676,
Ruminococcus lactaris,-0.187309107,0.174361,0.972439676,
Sutterella wadsworthensis,-0.054252577,0.1811293,0.972439676,
Megasphaera elsdenii,-0.627018017,0.1818594,0.972439676,
Bacteroides sp 3 2 5,0.067156508,0.1912473,0.972439676,
Weissella confusa,1.679087545,0.1953606,0.972439676,
Alistipes finegoldii,0.172112592,0.1971847,0.972439676,
Bacteroides massiliensis,0.021037606,0.2338497,0.972439676,
Ruminococcus bromii,-0.028916584,0.2392477,0.972439676,
Odoribacter splanchnicus,0.104346759,0.2433954,0.972439676,
Prevotella copri,-0.00517995,0.2466285,0.972439676,
Anaerostipes hadrus,1.178698793,0.2575938,0.972439676,
Lachnospiraceae bacterium 7 1 58FAA,-0.621077855,0.259626,0.972439676,
Clostridium bolteae,0.190018112,0.264744,0.972439676,
Bifidobacterium breve,-0.058692104,0.2744587,0.972439676,
Bacteroidales bacterium ph8,-0.026150294,0.2815407,0.972439676,
Megamonas rupellensis,-0.06838741,0.2837149,0.972439676,
Bifidobacterium catenulatum,-0.316006358,0.2945783,0.972439676,
Bacteroides barnesiae,-0.637189011,0.3079726,0.972439676,
Burkholderiales bacterium 1 1 47,-0.287237444,0.3099463,0.972439676,
Klebsiella pneumoniae,-0.031079437,0.3106851,0.972439676,
Parabacteroides distasonis,0.028184222,0.3141002,0.972439676,
Oscillibacter sp KLE 1745,-0.438145065,0.3325771,0.972439676,
Lactobacillus crispatus,-0.19218395,0.3410078,0.972439676,
Mitsuokella multacida,-0.032892776,0.3600085,0.972439676,
Parabacteroides merdae,0.03290182,0.3741487,0.972439676,
Prevotella buccae,-0.250174936,0.3757356,0.972439676,
