Species,Estimate,pvalue,padj,highlight
Fusobacterium mortiferum,19.8097967,5.18992E-07,8.77097E-05,4
Lachnospiraceae bacterium 8 1 57FAA,10.1788942,0.006953349,0.587557991,4
Sutterella wadsworthensis,0.4531688,0.05369515,0.717356538,
Bacteroides salyersiae,0.6610974,0.06694413,0.717356538,
Coprococcus comes,12.0411678,0.07040973,0.717356538,
Bifidobacterium bifidum,1.3317707,0.07298699,0.717356538,
Parabacteroides merdae,-0.4786683,0.075287261,0.717356538,
Bacteroides clarus,-0.6417358,0.09213276,0.717356538,
Parabacteroides goldsteinii,-1.0468158,0.095627578,0.717356538,
Blautia producta,0.4003521,0.10074152,0.717356538,
Clostridium perfringens,0.4003521,0.10074152,0.717356538,
Clostridium sp L2 50,0.4003521,0.10074152,0.717356538,
Coprococcus eutactus,0.4003521,0.10074152,0.717356538,
Coprococcus sp ART55 1,0.4003521,0.10074152,0.717356538,
Eubacterium cylindroides,0.4003521,0.10074152,0.717356538,
Eubacterium limosum,0.4003521,0.10074152,0.717356538,
Megamonas funiformis,0.4003521,0.10074152,0.717356538,
Megasphaera elsdenii,0.4003521,0.10074152,0.717356538,
Oxalobacter formigenes,0.4003521,0.10074152,0.717356538,
Prevotella buccae,0.4003521,0.10074152,0.717356538,
Ruminococcus sp 5 1 39BFAA,0.4003521,0.10074152,0.717356538,
Vibrio phage pYD38 A,0.4003521,0.10074152,0.717356538,
Weissella cibaria,0.4003521,0.10074152,0.717356538,
Eubacterium rectale,0.4875013,0.10605146,0.717356538,
Bacteroides plebeius,0.2067741,0.106117831,0.717356538,
Veillonella dispar,3.4864229,0.12332334,0.775057298,
Lachnospiraceae bacterium 3 1 46FAA,-5.718078,0.12827343,0.775057298,
Bacteroides coprocola,-0.2611267,0.12841186,0.775057298,
Bacteroides thetaiotaomicron,0.1155053,0.13942438,0.812507594,
Escherichia coli,-0.09265101,0.1608839,0.906312637,
Parabacteroides distasonis,0.1940934,0.18273902,0.954279237,
Dorea longicatena,4.0724046,0.19458103,0.954279237,
Bacteroides massiliensis,-0.2091776,0.20671037,0.954279237,
Veillonella atypica,1.6525245,0.2078218,0.954279237,
Lachnospiraceae bacterium 7 1 58FAA,26.3577404,0.20892504,0.954279237,
Bacteroides xylanisolvens,0.280049,0.22669646,0.97256575,
Roseburia hominis,1.0605374,0.24653522,0.97256575,
Lactobacillus delbrueckii,2.5802353,0.24930014,0.97256575,
Eubacterium ventriosum,-13.2274026,0.25313652,0.97256575,
Anaerostipes hadrus,-15.4225814,0.26065119,0.97256575,
Coprobacter fastidiosus,-2.9927303,0.26447024,0.97256575,
Coprococcus catus,9.8869325,0.26499172,0.97256575,
Clostridium leptum,-5.478042,0.29098267,0.97256575,
Paraprevotella clara,4.679023,0.29386286,0.97256575,
Clostridiales bacterium 1 7 47FAA,7.1862416,0.30258948,0.97256575,
Bacteroides sp 2 1 22,-4.758125,0.30572726,0.97256575,
Bacteroides coprophilus,-0.815088,0.31059836,0.97256575,
Bilophila wadsworthia,-14.7851889,0.31597711,0.97256575,
Klebsiella phage KP36,-0.04586097,0.32004852,0.97256575,
Clostridium bolteae,-2.1483623,0.3435608,0.97256575,
Desulfovibrio desulfuricans,9.4611555,0.3474092,0.97256575,
Alistipes shahii,-0.1501751,0.35118801,0.97256575,
Desulfovibrio piger,-7.2087516,0.35643075,0.97256575,
Bacteroides uniformis,0.08789253,0.35915039,0.97256575,
Lachnospiraceae bacterium 2 1 46FAA,-14.1842243,0.36093115,0.97256575,
Lachnospiraceae bacterium 5 1 63FAA,-12.3305869,0.36751874,0.97256575,
Burkholderiales bacterium 1 1 47,-29.5853781,0.37125719,0.97256575,
Oscillibacter sp KLE 1745,-3.0250743,0.37125719,0.97256575,
Flavonifractor plautii,-2.8047159,0.37693614,0.97256575,
Fusobacterium varium,-4.1138589,0.38369051,0.97256575,
Phascolarctobacterium succinatutens,1.6589359,0.3888708,0.97256575,
Bacteroides finegoldii,0.2314447,0.3968808,0.97256575,
Dialister succinatiphilus,-2.6662028,0.40288946,0.97256575,
Sutterella parvirubra,2.7045907,0.41242565,0.97256575,
Lachnospiraceae bacterium 1 4 56FAA,-13.0635003,0.41333148,0.97256575,
Alistipes senegalensis,-1.7426011,0.41427009,0.97256575,
Roseburia inulinivorans,0.6679686,0.4150691,0.97256575,
Bacteroides faecis,-1.0406475,0.41595842,0.97256575,
Fusobacterium ulcerans,-2.5063803,0.4163291,0.97256575,
Collinsella tanakaei,-23.1056351,0.42586491,0.97256575,
Streptococcus parasanguinis,-0.9244868,0.4396896,0.97256575,
Collinsella intestinalis,-9.7624646,0.43992143,0.97256575,
Bifidobacterium longum,0.3202934,0.4534553,0.97256575,
Bacteroides caccae,0.05982627,0.45397098,0.97256575,
Bacteroides eggerthii,0.05833644,0.46982307,0.97256575,
Ruminococcus champanellensis,-8.5447246,0.48195212,0.97256575,
Bacteroides barnesiae,2.1596768,0.48248262,0.97256575,
Streptococcus gallolyticus,5.7483374,0.48248262,0.97256575,
Lactobacillus mucosae,-0.9566867,0.48419498,0.97256575,
Eubacterium biforme,-1.707264,0.48949692,0.97256575,
Ruminococcus bromii,-0.2653879,0.49602348,0.97256575,
Clostridium symbiosum,-7.9686545,0.5034418,0.97256575,
Alistipes finegoldii,-0.8189945,0.50473615,0.97256575,
Bacteroides nordii,4.9202114,0.5082205,0.97256575,
Bacteroides intestinalis,-0.581128,0.51129116,0.97256575,
Parasutterella excrementihominis,-9.5302958,0.51735733,0.97256575,
Enterobacter aerogenes,2.5168341,0.52805736,0.97256575,
Eubacterium siraeum,0.3102475,0.5480648,0.97256575,
Subdoligranulum sp 4 3 54A2FAA,1.0478251,0.55262947,0.97256575,
Streptococcus pasteurianus,-6.3031722,0.55615586,0.97256575,
Lactobacillus reuteri,2.7866684,0.55884047,0.97256575,
Streptococcus vestibularis,-2.8745486,0.56403243,0.97256575,
Eubacterium eligens,0.5993336,0.56415717,0.97256575,
Veillonella parvula,0.2949462,0.57229241,0.97256575,
Prevotella copri,-0.03050421,0.58187019,0.97256575,
Bacteroides cellulosilyticus,-0.1283523,0.58649824,0.97256575,
Clostridium nexile,-0.13783,0.5875591,0.97256575,
Alistipes indistinctus,-0.9579562,0.59916616,0.97256575,
Alistipes putredinis,-0.04764752,0.60907882,0.97256575,
Bifidobacterium catenulatum,-10.610253,0.61047292,0.97256575,
Streptococcus salivarius,-0.5403397,0.63707693,0.97256575,
Methanobrevibacter smithii,1.5252752,0.64007742,0.97256575,
Bacteroides sp 4 3 47FAA,-0.1165627,0.64243845,0.97256575,
Clostridium sp ATCC BAA 442,-0.6347961,0.64243845,0.97256575,
Megamonas hypermegale,-0.5729818,0.65698037,0.97256575,
Dorea formicigenerans,-7.8643425,0.66861601,0.97256575,
Clostridium asparagiforme,1.407244,0.6791154,0.97256575,
Adlercreutzia equolifaciens,-9.263128,0.68858593,0.97256575,
Parabacteroides johnsonii,-0.6521948,0.69876438,0.97256575,
Lachnospiraceae bacterium 1 1 57FAA,5.7107044,0.69950753,0.97256575,
Catenibacterium mitsuokai,-1.8258566,0.70022516,0.97256575,
Mitsuokella multacida,-0.1305803,0.70054121,0.97256575,
Bacteroides sp 3 2 5,-0.09335994,0.70101406,0.97256575,
Streptococcus infantarius,-1.5373148,0.70101406,0.97256575,
Odoribacter splanchnicus,0.2642671,0.70258306,0.97256575,
Citrobacter freundii,-18.159676,0.70682651,0.97256575,
Bifidobacterium breve,-0.0902474,0.70982721,0.97256575,
