Species,Estimate,pvalue,padj,highlight
Lachnospiraceae bacterium 1 4 56FAA,-0.618843757,0.000442267,0.074743055,4
Dialister succinatiphilus,0.023205826,0.001669692,0.141088974,
Veillonella atypica,0.099467183,0.004982362,0.236513726,
Flavonifractor plautii,-0.096146144,0.005597958,0.236513726,
Haemophilus parainfluenzae,0.024464753,0.007146742,0.24155988,4
Ruminococcus bromii,-0.008635057,0.009137633,0.257376663,
Anaerostipes hadrus,0.349174159,0.01295833,0.31285111,
Veillonella dispar,0.155989606,0.02108229,0.445363376,
Megamonas rupellensis,-0.018131537,0.03585799,0.51424685,
Faecalibacterium prausnitzii,0.004276873,0.03678335,0.51424685,
Collinsella tanakaei,0.119191217,0.03706556,0.51424685,
Oxalobacter formigenes,-0.238137745,0.03898829,0.51424685,
Eubacterium eligens,-0.00885775,0.03955745,0.51424685,
Bacteroides vulgatus,-0.003490389,0.0469134,0.566311757,
Parabacteroides goldsteinii,-0.035476026,0.06324198,0.618050238,
Eubacterium siraeum,-0.013604934,0.06399865,0.618050238,
Ruminococcus obeum,0.055934446,0.06593714,0.618050238,
Clostridium bolteae,-0.042072934,0.06898049,0.618050238,
Bacteroides intestinalis,-0.02037297,0.07110541,0.618050238,
Catenibacterium mitsuokai,0.095861513,0.07314204,0.618050238,
Clostridium sp ATCC BAA 442,-0.068408808,0.07891844,0.635105541,
Eubacterium biforme,0.03030165,0.08872244,0.681549653,
Collinsella aerofaciens,0.027187499,0.1071652,0.710456596,
Ruminococcus lactaris,-0.030246482,0.1072271,0.710456596,
Odoribacter laneus,-0.013340156,0.1074909,0.710456596,
Eubacterium rectale,0.003703374,0.1101357,0.710456596,
Bacteroides salyersiae,-0.016707355,0.1135049,0.710456596,
Fusobacterium varium,-0.07631516,0.1325002,0.787507948,
Bacteroides coprocola,0.004420282,0.1351345,0.787507948,
Roseburia inulinivorans,0.006371067,0.1505927,0.839668785,
Lactobacillus ruminis,0.089033018,0.1563029,0.839668785,
Bacteroides clarus,0.008645474,0.1596186,0.839668785,
Fusobacterium mortiferum,-0.024951603,0.1760522,0.839668785,
Lachnospiraceae bacterium 7 1 58FAA,0.099968786,0.1829292,0.839668785,
