Species,Estimate,pvalue,padj,highlight
Clostridium perfringens,199.03,6.50573E-23,1.09947E-20,4
Lachnospiraceae bacterium 2 1 46FAA,117.36,1.4647E-12,1.23767E-10,4
Streptococcus infantarius,20.81,5.36315E-05,0.003021242,4
Streptococcus salivarius,2.03,0.000569616,0.02406628,4
Escherichia coli,0.20,0.001187897,0.040150919,4
Clostridium sp ATCC BAA 442,6.58,0.004021379,0.113268842,
Klebsiella pneumoniae,0.71,0.004802425,0.115944261,
Collinsella aerofaciens,2.43,0.00572739,0.120991114,
Bacteroides sp 4 3 47FAA,1.09,0.006971506,0.13090939,
Odoribacter laneus,0.74,0.05531526,0.880449286,
Ruminococcus gnavus,2.33,0.05730735,0.880449286,
Streptococcus pasteurianus,11.86,0.09088218,0.99958523,
Alistipes finegoldii,-1.60,0.09549831,0.99958523,
Lactobacillus fermentum,3.58,0.10133631,0.99958523,
Bifidobacterium longum,0.45,0.1110635,0.99958523,
Eubacterium siraeum,-0.79,0.12075141,0.99958523,
Lactobacillus ruminis,5.58,0.12099132,0.99958523,
Eubacterium hallii,4.53,0.15431095,0.99958523,
Desulfovibrio piger,-7.45,0.17688683,0.99958523,
Streptococcus parasanguinis,1.89,0.2063614,0.99958523,
Roseburia inulinivorans,-1.42,0.22414404,0.99958523,
Bacteroides intestinalis,-1.24,0.22784254,0.99958523,
Parabacteroides goldsteinii,-1.13,0.23639461,0.99958523,
Fusobacterium mortiferum,8.11,0.24156809,0.99958523,
Dorea longicatena,3.04,0.2700568,0.99958523,
Streptococcus anginosus,5.30,0.27564047,0.99958523,
Alistipes senegalensis,-2.34,0.3006885,0.99958523,
Bacteroides massiliensis,-0.19,0.30863638,0.99958523,
Bacteroides vulgatus,-0.15,0.31164733,0.99958523,
Bifidobacterium adolescentis,0.15,0.31268203,0.99958523,
Sutterella parvirubra,-4.74,0.315343,0.99958523,
Bacteroides caccae,-0.12,0.3226434,0.99958523,
Faecalibacterium prausnitzii,-0.26,0.32854733,0.99958523,
Bacteroides xylanisolvens,-0.33,0.33178178,0.99958523,
Bacteroidales bacterium ph8,-0.15,0.34032013,0.99958523,
Ruminococcus obeum,3.78,0.34718288,0.99958523,
Veillonella parvula,-0.55,0.36098976,0.99958523,
Alistipes shahii,-0.14,0.3695618,0.99958523,
Eubacterium limosum,28.13,0.3723178,0.99958523,
Haemophilus parainfluenzae,0.70,0.38464279,0.99958523,
Enterobacter aerogenes,-5.54,0.39601923,0.99958523,
Bacteroides finegoldii,-0.30,0.39654196,0.99958523,
Bacteroides nordii,-6.55,0.39750409,0.99958523,
Fusobacterium ulcerans,-4.18,0.39816025,0.99958523,
Bifidobacterium bifidum,0.58,0.4164558,0.99958523,
Collinsella tanakaei,8.11,0.42472179,0.99958523,
Roseburia hominis,-1.00,0.4319312,0.99958523,
Mitsuokella multacida,-0.18,0.439266,0.99958523,
Lachnospiraceae bacterium 3 1 46FAA,-3.86,0.44901977,0.99958523,
Bilophila wadsworthia,-14.53,0.46343687,0.99958523,
Bifidobacterium breve,-0.29,0.47162728,0.99958523,
Lactobacillus delbrueckii,-2.69,0.47182189,0.99958523,
Vibrio phage pYD38 A,-0.07,0.48711656,0.99958523,
Bifidobacterium pseudocatenulatum,1.61,0.49128066,0.99958523,
Roseburia intestinalis,-0.49,0.50110131,0.99958523,
Clostridiales bacterium 1 7 47FAA,-0.37,0.50214596,0.99958523,
Lactobacillus reuteri,-2.93,0.50221179,0.99958523,
Megasphaera micronuciformis,-1.70,0.50401773,0.99958523,
Lactobacillus mucosae,1.26,0.51097004,0.99958523,
Prevotella copri,-0.04,0.51719341,0.99958523,
Bacteroides coprophilus,-0.39,0.52004664,0.99958523,
Blautia producta,-0.95,0.52618052,0.99958523,
Coprococcus catus,4.93,0.54077882,0.99958523,
Megamonas funiformis,10.39,0.54270692,0.99958523,
Prevotella stercorea,-0.07,0.56306556,0.99958523,
Pyramidobacter piscolens,-0.48,0.56848568,0.99958523,
Eubacterium ventriosum,-4.01,0.57356804,0.99958523,
Parabacteroides merdae,0.14,0.5906428,0.99958523,
Oxalobacter formigenes,-16.97,0.59130761,0.99958523,
Clostridium sp L2 50,-1.95,0.59255536,0.99958523,
Lachnospiraceae bacterium 5 1 63FAA,-3.02,0.59959123,0.99958523,
Clostridium bartlettii,-6.34,0.6017275,0.99958523,
Bifidobacterium animalis,-35.18,0.60294323,0.99958523,
Bifidobacterium dentium,-0.97,0.6116289,0.99958523,
Veillonella dispar,1.62,0.62665782,0.99958523,
Clostridium nexile,-0.21,0.6280447,0.99958523,
Lactobacillus vaginalis,-3.43,0.63529713,0.99958523,
Lachnospiraceae bacterium 7 1 58FAA,-6.61,0.63606571,0.99958523,
Veillonella atypica,-0.81,0.64543683,0.99958523,
Ruminococcus champanellensis,-7.83,0.64619565,0.99958523,
Paraprevotella xylaniphila,-1.85,0.64653093,0.99958523,
