Species,Estimate,pvalue,padj,highlight
Pyramidobacter piscolens,-6.9180911,0.000880309,0.080885496,
Coriobacteriaceae bacterium phI,-4.9842857,0.000957225,0.080885496,
Dialister invisus,-10.0098371,0.009639743,0.37199604,4
Ruminococcus lactaris,8.3280869,0.01157104,0.37199604,
Subdoligranulum sp 4 3 54A2FAA,4.2002536,0.01266242,0.37199604,
Collinsella intestinalis,29.9026803,0.01320696,0.37199604,
Barnesiella intestinihominis,-0.7663521,0.01997312,0.482208183,
Ruminococcus champanellensis,25.6716979,0.02772225,0.579373422,
Bacteroides coprophilus,1.6613973,0.03123809,0.579373422,
Bacteroides caccae,0.1527139,0.04530825,0.579373422,
Bacteroides dorei,-0.1344098,0.06324964,0.579373422,
Bacteroides sp 4 3 47FAA,0.4476821,0.06407561,0.579373422,
Clostridium sp ATCC BAA 442,2.4380606,0.06407561,0.579373422,
Streptococcus salivarius,-1.8991923,0.06473455,0.579373422,
Bacteroidales bacterium ph8,-0.2073029,0.06594209,0.579373422,
Desulfovibrio desulfuricans,17.0198932,0.08044001,0.579373422,
Enterobacter hormaechei,-9.5778346,0.09349739,0.579373422,
Klebsiella oxytoca,-4.5707165,0.09349739,0.579373422,
Lachnospiraceae bacterium 2 1 58FAA,-49.3999399,0.09349739,0.579373422,4
Fusobacterium mortiferum,-6.9476919,0.09412355,0.579373422,
Veillonella atypica,-2.0286235,0.1009792,0.579373422,
Roseburia intestinalis,-0.7484246,0.1068254,0.579373422,
Veillonella parvula,-0.7933727,0.114088,0.579373422,
Clostridium bolteae,-3.342734,0.1163236,0.579373422,
Bacteroides salyersiae,-0.5435447,0.1227387,0.579373422,
Enterobacter cloacae,-1.0350184,0.1282449,0.579373422,
Alistipes onderdonkii,-0.1115551,0.1290476,0.579373422,
Eubacterium hallii,4.5369309,0.13663,0.579373422,
Haemophilus parainfluenzae,-1.7714701,0.1367629,0.579373422,
Lactobacillus gasseri,-7.3679428,0.1389101,0.579373422,
Lachnospiraceae bacterium 8 1 57FAA,-5.3255638,0.1525833,0.579373422,
Lachnospiraceae bacterium 3 1 57FAA CT1,-12.1310946,0.158988,0.579373422,
Ruminococcus torques,-0.8365832,0.162343,0.579373422,
Enterobacter aerogenes,-5.3574908,0.1649103,0.579373422,
Bacteroides sp 3 2 5,-0.3218312,0.1695242,0.579373422,
Streptococcus infantarius,-5.2994441,0.1695242,0.579373422,
Methanobrevibacter smithii,-4.3179757,0.1699937,0.579373422,
Blautia producta,-0.3185642,0.1748405,0.579373422,
Clostridium perfringens,-0.3185642,0.1748405,0.579373422,
Clostridium sp L2 50,-0.3185642,0.1748405,0.579373422,
Coprococcus eutactus,-0.3185642,0.1748405,0.579373422,
Coprococcus sp ART55 1,-0.3185642,0.1748405,0.579373422,
Eubacterium cylindroides,-0.3185642,0.1748405,0.579373422,
Eubacterium limosum,-0.3185642,0.1748405,0.579373422,
Megamonas funiformis,-0.3185642,0.1748405,0.579373422,
Megasphaera elsdenii,-0.3185642,0.1748405,0.579373422,
Oxalobacter formigenes,-0.3185642,0.1748405,0.579373422,
Prevotella buccae,-0.3185642,0.1748405,0.579373422,
Ruminococcus sp 5 1 39BFAA,-0.3185642,0.1748405,0.579373422,
Vibrio phage pYD38 A,-0.3185642,0.1748405,0.579373422,
Weissella cibaria,-0.3185642,0.1748405,0.579373422,
Megasphaera micronuciformis,-15.4620829,0.1809446,0.58806995,
Lactobacillus reuteri,-6.0148845,0.1896092,0.602615506,
Eubacterium ventriosum,14.6633763,0.1925517,0.602615506,
Bacteroides barnesiae,-3.7695231,0.2033097,0.61355963,
Streptococcus gallolyticus,-10.03321,0.2033097,0.61355963,
Prevotella stercorea,0.09000922,0.2090276,0.619748498,
Parabacteroides distasonis,0.1753457,0.2156732,0.628427083,
Bacteroides sp 2 1 22,5.4854517,0.2248079,0.643941273,
Lachnospiraceae bacterium 2 1 46FAA,17.7957509,0.2385184,0.649840946,
Clostridiales bacterium 1 7 47FAA,7.9872649,0.2385687,0.649840946,
Streptococcus vestibularis,-5.6393256,0.2409506,0.649840946,
Bacteroides clarus,0.4356607,0.2422484,0.649840946,
Lactobacillus mucosae,-1.5097282,0.2538305,0.670271164,
Coprobacter fastidiosus,2.9446841,0.2580193,0.67085018,
Faecalibacterium prausnitzii,0.20903,0.2730552,0.68407651,
Prevotella copri,0.05810671,0.275135,0.68407651,
Streptococcus anginosus,-16.7748693,0.2796056,0.68407651,
Bifidobacterium adolescentis,0.1550771,0.2833277,0.68407651,
Bifidobacterium breve,-0.2517895,0.2833453,0.68407651,
Lactobacillus fermentum,-16.005564,0.2905769,0.691654875,
Alistipes shahii,0.1592334,0.3052079,0.716390765,
Clostridium bartlettii,-8.7762633,0.3128895,0.717147444,
Veillonella dispar,-2.2237825,0.3153639,0.717147444,
Bacteroides coprocola,0.1671839,0.3182607,0.717147444,
Ruminococcus obeum,-4.8945602,0.3237398,0.719895082,
Bacteroides nordii,-5.7230659,0.3386698,0.743312917,
Lactobacillus ruminis,5.5211565,0.3430675,0.743312917,
Bacteroides massiliensis,0.1472001,0.3604798,0.77115299,
Bifidobacterium dentium,-11.0068813,0.3780103,0.798546759,
Odoribacter splanchnicus,-0.5799232,0.3888114,0.811223785,
Bifidobacterium pseudocatenulatum,1.3831898,0.4032129,0.825437646,
Weissella confusa,-19.3021949,0.4080117,0.825437646,
Lachnospiraceae bacterium 1 1 57FAA,-11.8192198,0.4102767,0.825437646,
Ruminococcus gnavus,-0.6563636,0.4304505,0.849894278,
Lachnospiraceae bacterium 1 4 56FAA,12.1625993,0.4341937,0.849894278,
Clostridium leptum,3.9074267,0.4397456,0.849894278,
Ruminococcus bromii,0.29118,0.4425485,0.849894278,
Eubacterium biforme,1.8057025,0.4513423,0.857043244,
Anaerostipes hadrus,9.2522052,0.4895781,0.879811118,
Alistipes sp HGB5,3.087123,0.4955418,0.879811118,
Roseburia hominis,-0.5908163,0.5064983,0.879811118,
Dorea longicatena,2.0330148,0.5081929,0.879811118,
Clostridium nexile,-0.1616433,0.5114314,0.879811118,
Lactobacillus salivarius,-1.4413653,0.5129581,0.879811118,
Klebsiella pneumoniae,0.1694318,0.5207912,0.879811118,
Parabacteroides merdae,0.1686768,0.5224864,0.879811118,
Bacteroides vulgatus,-0.05691572,0.5302641,0.879811118,
Burkholderiales bacterium 1 1 47,19.433737,0.5471855,0.879811118,
Oscillibacter sp KLE 1745,1.9870795,0.5471855,0.879811118,
Eubacterium siraeum,-0.2987116,0.5520136,0.879811118,
Bacteroides fragilis,-0.04554539,0.5647738,0.879811118,
Desulfovibrio piger,4.3587192,0.5649395,0.879811118,
Alistipes putredinis,-0.05111101,0.5718049,0.879811118,
Alistipes sp AP11,0.4705458,0.578631,0.879811118,
Clostridium symbiosum,-5.5556491,0.5916464,0.879811118,
Odoribacter laneus,-0.6029418,0.5940634,0.879811118,
Alistipes finegoldii,0.63369,0.594423,0.879811118,
Parabacteroides goldsteinii,0.3233334,0.6001193,0.879811118,
Lachnospiraceae bacterium 3 1 46FAA,-1.9146254,0.6034285,0.879811118,
Fusobacterium varium,-2.3571945,0.6068076,0.879811118,
Lactobacillus vaginalis,-2.124451,0.6092087,0.879811118,
Sutterella wadsworthensis,-0.1180961,0.6092908,0.879811118,
Alistipes senegalensis,-1.026901,0.6208558,0.879811118,
Ruminococcus callidus,-1.3299728,0.632329,0.879811118,
Coprococcus catus,-4.1419005,0.6327981,0.879811118,
Bacteroides faecis,0.5879202,0.6368889,0.879811118,
Butyrivibrio crossotus,20.4082705,0.6389309,0.879811118,
Lachnospiraceae bacterium 7 1 58FAA,9.6328748,0.6389309,0.879811118,
Clostridium clostridioforme,-1.0865019,0.6427712,0.879811118,
Lactobacillus delbrueckii,-1.0015475,0.647186,0.879811118,
Coprococcus comes,-2.9712602,0.6502012,0.879811118,
Bacteroides cellulosilyticus,-0.1037368,0.6505972,0.879811118,
Alistipes indistinctus,-0.7983244,0.6518954,0.879811118,
Eubacterium rectale,-0.1272086,0.6656819,0.879811118,
Bacteroides eggerthii,-0.03394726,0.6658582,0.879811118,
Akkermansia muciniphila,0.0447307,0.6705865,0.879811118,
Roseburia inulinivorans,-0.3378457,0.6713194,0.879811118,
