,decade,variable,value
1,21-40,shannon,3.47307026
2,21-40,shannon,2.600054087
3,21-40,shannon,2.507766005
4,21-40,shannon,2.125163664
5,21-40,shannon,2.411953255
6,21-40,shannon,2.752825049
7,21-40,shannon,2.761059665
8,21-40,shannon,2.903181365
9,21-40,shannon,2.742147539
10,21-40,shannon,2.674544876
11,21-40,shannon,1.133807341
12,21-40,shannon,1.490292717
13,21-40,shannon,1.959132254
14,21-40,shannon,2.06122461
15,21-40,shannon,1.41837877
16,21-40,shannon,3.25473139
17,21-40,shannon,3.323184099
18,21-40,shannon,2.877765428
19,21-40,shannon,3.015011164
20,21-40,shannon,2.683981816
21,21-40,shannon,2.768827789
22,21-40,shannon,2.873509028
23,21-40,shannon,2.781612349
24,21-40,shannon,2.728962501
25,21-40,shannon,3.101008409
26,21-40,shannon,2.708861383
27,21-40,shannon,2.54802123
28,21-40,shannon,2.934844802
29,21-40,shannon,2.40755388
30,21-40,shannon,2.796559054
31,21-40,shannon,3.038224786
32,21-40,shannon,3.069183738
33,21-40,shannon,2.717553919
34,21-40,shannon,1.201724224
35,21-40,shannon,2.306323481
36,21-40,shannon,2.480797446
37,21-40,shannon,2.340740212
38,21-40,shannon,2.704982942
39,21-40,shannon,3.1003431
40,21-40,shannon,2.778119286
41,21-40,shannon,2.623575662
42,21-40,shannon,3.032808262
43,21-40,shannon,2.93664931
44,21-40,shannon,3.296665381
45,21-40,shannon,2.825623644
46,21-40,shannon,3.060779868
47,21-40,shannon,2.376641172
48,21-40,shannon,2.408796144
49,21-40,shannon,3.127014428
50,21-40,shannon,2.903606022
51,21-40,shannon,3.040083731
52,21-40,shannon,2.982922256
53,21-40,shannon,2.833539261
54,21-40,shannon,2.943262929
55,21-40,shannon,2.803276201
56,21-40,shannon,2.161208067
57,21-40,shannon,2.2088868
58,21-40,shannon,2.636402882
59,21-40,shannon,2.799938931
60,21-40,shannon,2.579885959
61,21-40,shannon,0.791979289
62,21-40,shannon,1.862743642
63,21-40,shannon,3.294612656
64,21-40,shannon,2.997446514
65,21-40,shannon,1.73652208
66,21-40,shannon,3.10711316
67,21-40,shannon,3.150050515
68,21-40,shannon,3.187091664
69,21-40,shannon,1.775052692
70,21-40,shannon,2.915250091
71,21-40,shannon,1.828221224
72,21-40,shannon,1.564975077
73,21-40,shannon,3.029077118
74,41-60,shannon,2.788199126
75,41-60,shannon,2.291566138
76,41-60,shannon,2.501027907
77,41-60,shannon,2.705150793
78,41-60,shannon,1.998126011
79,41-60,shannon,2.520141401
80,41-60,shannon,2.71512505
81,41-60,shannon,2.294676339
82,41-60,shannon,3.563276652
83,41-60,shannon,2.328982123
84,41-60,shannon,2.684447836
85,41-60,shannon,3.35988543
86,41-60,shannon,2.889754775
87,41-60,shannon,2.249458863
88,41-60,shannon,2.848943084
89,41-60,shannon,2.556108877
90,41-60,shannon,2.803013118
91,41-60,shannon,3.515585856
92,41-60,shannon,2.717896566
93,41-60,shannon,3.024220996
94,41-60,shannon,2.196191162
95,41-60,shannon,2.939271787
96,41-60,shannon,2.682158679
97,41-60,shannon,1.2240774
98,41-60,shannon,2.664011206
99,41-60,shannon,2.51779194
100,41-60,shannon,3.220006552
101,41-60,shannon,3.090749998
102,41-60,shannon,2.039750018
103,41-60,shannon,2.713341293
104,41-60,shannon,3.394935683
105,41-60,shannon,2.96850569
106,41-60,shannon,2.530931634
107,41-60,shannon,2.532027563
108,41-60,shannon,2.530309443
109,41-60,shannon,2.163999266
110,41-60,shannon,1.248658045
111,41-60,shannon,2.53974971
112,41-60,shannon,2.756059891
113,41-60,shannon,2.340106324
114,41-60,shannon,1.668544623
115,41-60,shannon,1.885003718
116,41-60,shannon,2.077599905
117,41-60,shannon,1.528004546
118,41-60,shannon,2.544054272
119,41-60,shannon,2.53034738
120,41-60,shannon,2.822229182
121,41-60,shannon,2.134339032
122,41-60,shannon,2.726248878
123,41-60,shannon,3.19343441
124,41-60,shannon,2.774147555
125,41-60,shannon,2.323326617
126,41-60,shannon,2.493844701
127,41-60,shannon,2.378306633
128,41-60,shannon,2.790897251
129,41-60,shannon,2.913650558
130,41-60,shannon,2.847499851
131,41-60,shannon,2.950837107
132,41-60,shannon,3.111086974
133,41-60,shannon,2.429567885
134,41-60,shannon,2.385785325
135,41-60,shannon,2.261668793
136,41-60,shannon,2.876336087
137,41-60,shannon,3.471539322
138,41-60,shannon,2.932993603
139,41-60,shannon,2.727914497
140,41-60,shannon,2.551955808
141,41-60,shannon,2.431103507
142,41-60,shannon,2.69221076
143,41-60,shannon,2.545769267
144,41-60,shannon,2.765427255
145,41-60,shannon,2.233035293
146,41-60,shannon,2.600377728
147,41-60,shannon,2.632100042
148,41-60,shannon,2.577558174
149,41-60,shannon,3.003524738
150,41-60,shannon,2.886798474
151,41-60,shannon,2.735083093
152,41-60,shannon,2.911192499
153,41-60,shannon,0.885804401
154,41-60,shannon,3.2166181
155,41-60,shannon,2.463062702
156,41-60,shannon,3.117748697
157,41-60,shannon,2.245562416
158,41-60,shannon,2.679952567
159,41-60,shannon,1.825550461
160,41-60,shannon,2.870218043
