LibraryID	CON001	CON002	CON003	CON004	CON005	CON006	CON007	CON008	CON009	CON010	CON011	CON012	CON013	CON014	CON015	CON016	CON017	CON018	CON019	CON020	CON021	CON022	CON023	CON026	CON027	CON028	CON029	CON031	CON032	CON033	CON034	CON035	CON036	CON037	CON038	CON039	CON040	CON041	CON042	CON043	CON044	CON045	CON046	CON047	CON048	CON049	CON050	CON051	CON052	CON053	CON054	CON055	CON056	CON057	CON058	CON059	CON060	CON061	CON062	CON063	CON064	CON065	CON066	CON067	CON068	CON069	CON070	CON071	CON072	CON073	CON074	CON075	CON076	CON077	CON078	CON079	CON080	CON081	CON082	CON083	CON084	CON085	CON086	CON087	CON088	CON089	CON090	CON091	CON092	CON093	CON095	CON096	CON097	CON098	CON099	CON101	CON104	CON105	CON106	CON107	NLF001	NLF002	NLF005	NLF006	NLF007	NLF008	NLF009	NLF010	NLF011	NLF012	NLF013	NLF014	NLF015	NLM001	NLM002	NLM003	NLM004	NLM005	NLM006	NLM007	NLM008	NLM009	NLM010	NLM015	NLM016	NLM017	NLM021	NLM022	NLM023	NLM024	NLM026	NLM027	NLM028	NLM029	NLM031	NLM032	NOF001	NOF002	NOF004	NOF005	NOF006	NOF007	NOF008	NOF009	NOF010	NOF011	NOF012	NOF013	NOF014	NOM001	NOM002	NOM004	NOM005	NOM008	NOM009	NOM010	NOM012	NOM013	NOM014	NOM015	NOM016	NOM017	NOM018	NOM019	NOM020	NOM022	NOM023	NOM025	NOM026	NOM027	NOM028	MBE033	MBE034	MBE035	MBE036	MBE037	MBE038	MBE039	MBH207	MBH208	MBM135	MBM137	MBM139	MHS226	MHS229	MHS231	MHS232	MHS234	MHS235	MHS236	MHS238	MHS239	MHS240	MHS243	MHS244	MHS246	MHS247	MHS248	MHS249	MHS250	MHS251	MHS253	MHS255	MHS257	MHS258	MHS259	MHS266	MHS267	MHS269	MHS276	MHS277	MHS279	MHS282	MHS283	MHS285	MHS286	MHS287	MHS288	MHS289	WFC023	WFC024	MBS1236	MBS1233	MBS1232	MBS1239	MBS1237	MBS1235	MBS1242	MBS1243	MBS1219	MBS1238	MBS1216	MBS1215	MBS1217	MBS1218	MBS1220	MBS1223	MBS1222	MBS1226	MBS1228	MBS1227	MBS1230	MBS1231	MBS1234	MBS1240	MBS1249	MBS1251	MBS1247	MBS1248	MBS1256	MBS1253	MBS1255	MBS1254	MBS1257	MBS1258	MBS1263	MBS1259	MBS1261	MBS1260	MBS1262	MBS1264	MBS1557	MBS1537	MBS1590	MBS1559	MBS1549	MBS1536	MBS1558	MBS1547	MBS1568	MBS1555	MBS1525	MBS1516	MBS1526	MBS1515	MBS1538	MBS1523	MBS1539	MBS1563	MBS1542	MBS1545	MBS1530	MBS1517	MBS1560	MBS1548	MBS1534	MBS1524	MBS1564	MBS1519	MBS1565	MBS1528	MBS1553	MBS1529	MBS1543	MBS1520	MBS1551	MBS1552	MBS1546	MBS1561	MBS1544	MBS1540	MBS1531	MBS1527	MBS1532	MBS1541	MBS1535	MBS1562	MBS1550	MBS1556	MBS1566	MBS1567	MBS1533	MBS1439	MBS1570	MBS1571	MBS1572	MBS1573	MBS1433	MBS1575	MBS1576	MBS1582	MBS1435	MBS1436	MBS1583	MBS1586	MBS1589	MBS1588	MBS1593	MBS1591	MBS1574	MBS1578	MBS1577	MBS1584	MBS1580	MBS1579	MBS1585	MBS1587	MBS1599	MBS1592	MBS1594	MBS1598	MBS1595	MBS1596	MBS1601	MBS1612	MBS1613	MBS1615	MBS1614	MBS1603	MBS1609	MBS1602	MBS1600	MBS1606	MBS1605	MBS1604	MBS1608	MBS1610	MBS1611	MBS1616	MBS1518	MBS1521	MBS1522	MBS1554	MBS1434	MBS1438	MBS1440	MBS1454	MBS1457	MBS1453	MBS1456	MBS1455	MBS1460	MBS1441	MBS1442	MBS1444	MBS1443	MBS1447	MBS1446	MBS1448	MBS1449	MBS1450	MBS1452	MBS1451	MBS1458	MBS1461	MBS1459	MBS1464	MBS1465	MBS1467	MBS1468	MBS1469	MBS1470	MBS1474	MBS1471	MBS1472	MBS1473	MBS1475	MBS1483	MBS1477	MBS1478	MBS1479	MBS1480	MBS1481	MBS1482	MBS1486	MBS1484	MBS1492	MBS1485	MBS1487	MBS1494	MBS1488	MBS1489	MBS1490	MBS1491	MBS1493	MBS1495	MBS1496	MBS1497	MBS1499	MBS1498	MBS1500	MBS1501	MBS1502	MBS1503	MBS1504	MBS1505	MBS1506	MBS1509	MBS1508	MBS1511	MBS1507	MBS1510	MBS1513	MBS1514
s__Acidaminococcus_unclassified	0	0	0	0	0	0	0	0	8.33645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64642	0	0	0	0	0	0	0	0	0	0	0.21079	0	0.13042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.31597	0.21453	0.10709	0	1.47577	0	0	3.16391	14.60179	1.61836	18.66428	0	0.50463	0	2.5274	0	0.10844	7.13803	0	0	0	0.4214	0	0	0	0	0	2.79159	0	0.14706	0	0.65698	0	0	0	0	0	15.40585	0	0	0.17307	2.47818	0.19396	0	0	0	1.03685	0	0	0	0	0	0	0	0.60873	0	0	0.84873	0	0.13954	0	0	0	0	0	1.06404	0	0	0	0	1.97139	0	1.60221	0	0	16.90625	0	0.30564	0	0	0	0	2.06116	0	0	0	0	0.45553	0	0	0	0.16869	0	0	0	0	0.23734	0	0.63092	0	0	0	0.6728	0	0	0	0	0.1878	0	1.16992	0	0	0	0.41333	0	0	0.29732	1.06037	3.44769	0	0	0	0.61719	0	0	0	0	0	0	0	0.30737	0	2.03447	0	0	0	4.6497	0	0	0	0	0.35604	0.10867	0.57847	6.06418	2.01573	0.74718	0	0	0.43132	0	0	0	0.58068	0.2354	0	0	0	0	1.61532	0	1.27203	0	0	0	0	0	0	0	0	0	0	0	1.09014	0	0	0.65086	0	6.66123	0	3.42953	0.36315	0	0	0	0.37533	0	0	0	1.92319	1.88114	0	1.26853	0	7.38294	0	0.99621	0	0	3.03208	2.06467	1.20368	8.5615	0	0	0	0.82273	0	0	0.14325	0	0	1.3083	0	0	2.19177	0	0	0	2.83626	2.98333	0.98862	0	0	0	0	0	0	1.77667	0	0	0	0	0	0	0	0	0	0	0	0	0.1566	0.41605	0	0	0	0	0	0.77182	0	0.73887	0	0	0	0.56222	0	3.60977	0	1.05004
s__Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Acinetobacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Adlercreutzia_equolifaciens	0	0	0	0	0	0.10586	0	0	0	0	0	0	0	0.14116	0	0	0	0	0	0	0	0	0	0.12242	0	0	0	0	0.17203	0	0	0	0	0	0	0	0	0.47608	0	0	0	0	0	0	0	0	0	0	0	0.10698	0	0	0	0	0	0.21109	0	0	0	0	0	0	0	0.11819	0	0	0	0	0	0.10552	0	0.10023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52828	0	0	0	0	0	0.1529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15882	0	0	0	0	0	0.11099	0	0.10254	0	0	0	0.11979	0	0	0	0.61992	0	0	0.10016	0	0	0	0	0	0	0	0.17999	0	0	0	0.16616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14793	0.19211	0	0	0.18765	0	0	0	0.54768	0	0.70655	0.55306	0	0	0	0	0	1.12075	0	2.00358	0.12471	0.216	0	0	0	0.15407	0	0	1.02189	0	1.66171	0	0	0	0	0	0	0	0	0.45001	1.37752	0.2697	0.24412	0.18451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14451	0	0	0	0	0	0.31191	0	0.11435	0	0	0	0	0	0	0	0	0	0	0	0.11856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22645	0	0	0	0	0	0
s__Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Akkermansia_muciniphila	7.96704	0	0.11992	0	2.84809	0.76594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4367	0	0	0	0	1.02945	0	0	0	2.00562	0	0	0	0	1.80085	0	1.76817	0	0	0	0.76572	0	0	0	0	0	0.16606	0.24313	0	0.1881	0	5.52827	0	0	0	0	0	0	0	0	0	0	0	0	0.33693	0	17.78677	0	0	0	0	0	0	18.38775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09168	0	0	0	0	0	0	0	0	0	0.33795	0	0	0	0	0	0	0.55128	0	0	0	0	0	0.20607	0	0	0	0	0	0	0	0	0	1.01547	0	0	0	0	0	0	0	0.11032	0	0	0	0	0	0	0	1.36148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62251	0	0	0	0	0	0	0	0.91439	0	0	0	0	0.34562	1.80361	11.55334	0	0	0	0	0	0	0	0	0	0	0.71214	0	0	0	4.97244	0	0	0	0	0	0	0.38204	0.51445	0.16067	0	0	0	0	0	0	0	1.96849	0	0	0	0	0	0	1.45623	10.83533	0	0	0	0.15891	0	0	0	0	0	0	0.92842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98574	0	0	0.20014	0	0	0	4.30304	0	0	0	0	2.47847	2.57293	2.21739	0	3.61217	0	0	0	0.23919	0	0	0	0.91212	0	0	34.61311	0.25239	0	0	0	0	0	0	0	0	0.1296	0	0	0	0	0	0	1.35998	0	0.75301	0	0	1.26652	34.08491	0	0	0	0	0.50185	0	0	1.69688	0	0	0	0	0	0	0.14346	0	0	0	0	0	0	0	3.44114	0	0	23.99863	0	0	1.10316	0	0	0	0	1.09047	0	0	0	2.64895	6.964	0	0	0	0	0.69415	8.68108	4.28877	0	6.62925	0	0	0	0	0.2445	0	0	0	5.85117	0	0	0	0.11781	4.48843	0	0	6.92089	0	0	0.96758	0	0.77323	0.47077	0	0	0	0	0	5.45093	0	0.18509	13.24962	0	0	0	2.65916	0	37.11976	0	13.31563	0.13929	0	0	0	2.40662	0.45903	0	0	0	0	0	0	0	0	2.01567	0	0	0.57246	0	0	5.64787	0	0	0.20463	0	0	0	0	0	0	0	0	0	0	0.25021	0	0	2.56634	0	0	0	0	0.20265	0	0.28926	0.16261	0.28347	1.9257	0	0	6.49586
s__Alcaligenes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Alistipes_finegoldii	0.47912	0.48839	0.43656	0	0	0	0	0	0	0.17163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63747	0.87773	0	0	0.18624	0	0	0	0	0.41176	0.71238	0.18206	0.15683	0	0	0.23038	0.105	0	0	0.9676	0.62231	0.58109	0.41798	0	0.36562	0	0.30583	0	0	0	0	0	0	0	0.16198	0	0	0	0.13902	0	0	1.46624	0	0	0	0	0	0	0.33227	0	0.10555	0.79852	0	0	0	0	0	0.17561	0	0	0	0	0.10022	0	0	0	0.28823	0	0	0	0	0	0.3188	0.31348	0.17502	0	0	0	0	0	0	0.75517	0	0	0	0.19619	0	0	0	0.2099	0.25812	0	0.11716	0	0	0.23706	0	0	0	0	0	0	0.47984	0	0	0.39407	0	0.25846	1.26026	0	1.0108	0	0	0.4675	0.5359	0	2.87357	1.46108	0	0	0	0	0	0	0	0.33092	0	0	0.42424	0.5058	0	0	0	0	0	0.3648	0	0.19621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49967	0.34271	0	0	0	0	0	0.11354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23917	0	0	0	0	0	0	0	0.52135	0	0.6601	0	0	2.01347	0	0	0.12255	0	0.82199	0	0	0	0	0	0.2657	0.33294	0	0	0	0	0.2023	0	0.18318	0	0.15404	0.38665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50146	0	1.01699	0	0	0	0	0	0	0	0	0.27336	0	0	0	0	0.12488	0	0.25764	0	2.25856	0	0.11917	0	0.13571	0	0	0.24306	0.4475	0	0	0.25573	0	0.93908	2.45256	0	0	0	0.86508	0	0.95542	0	0	0.1317	0	0	0	0	0	0	0	0.35456	0	0	0	0	0	0.31155	0	1.70369	0	0	2.62377	0	0	0	0	0	0.15418	0.82543	0	0	0	0.64366	0	0	0	0	0	2.00515	1.76691	0	0.14697	0	0	0	0	0.10093	0	0	0	0	0	0	0.9083	0	0	4.72375	0.27646	0.67759	0	0	0.34095	0	5.30176	0.3193	0	1.69896	0	0	0	0.2079	0	0	0	0	0	0	0	1.20896	0	0	0.16176	0	0.34959	0	1.17966	0	0	0.78447	0	0.19461	0.86714	0	0	0	0	0	0.39554	0.69484	0.34951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72792	0	1.17562	0	0	0	0
s__Alistipes_indistinctus	6.09969	0	0.74873	0	0.22846	0.23127	0	0	0	0	1.09674	0	0	0	0	0	0	0	0.35408	0	0	0.21292	0.17979	0	0	0	0	0	0	0	0	0.86224	0	0	0	0	0	0.3481	0	2.20897	0	0	0	0	0	0	0	0	0.273	0.20385	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33698	0.79284	0	0.18757	0.15236	0	0	0	0	0	0	0	0	0.10164	0	0.22325	0.47199	0	0	0	0	0	0.1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20474	0	0	0.22903	0	0	0.11451	0	0	0	0	0.15458	0	0.12952	0	0	0	0	0	0	0	0	0.21923	0	0.44658	0	0	0	0	0	0	0	0.34026	0	0.44596	0	0	0	0	0	0	0	0	0	0.62021	1.90876	0	0	0.15098	0	0	2.07406	0	0	0	0	0	0	0	0	0	0	0.27561	0	0	0	0	0	0.2234	0.30412	0	1.94376	0	0	0	0	0	0	0	0	0	0	0.12833	0	0	0	0	0	0	0	0	0	0	0	0.10019	0	0	0	0.24559	0	0.34217	0	0	0	0	0	0.16012	1.29231	0	0.53922	0.75756	0	0.11243	0	0	0	0	0.10828	0	0	0.24869	0.41621	0	0	0	0.74918	0	0	0.29504	0	0	1.08427	4.90302	0	0.71431	0.94304	0	0	0.24421	5.51347	0	0	0	0	0.12067	0	0.1412	0	0	3.86839	0	0	0	0	0	0	0	0.43634	0	0.10486	0.14784	0.11513	0	0	0.32919	0	0.16063	0.3785	0	0	0	0	0	0	1.6246	0	0	0	0	0	0	0	0	0	0	0	0.23915	0	1.14178	0	0	0.4202	0	0	0.10753	0	0.80176	0	0	0	0	0	0.12909	0	0	0	0	1.06938	0.11024	0	0	0	2.24894	0.1392	0	0	0	0.38798	0	0.18058	0.12079	0.18524	0	0	0	0	2.52131	0	3.92882	0	0	0	0.24054	0	0	0.8714	0	0	2.48362	0.12669	0	8.72571	0	0.24078	0	6.67398	0	0	0	0	0	0	0	0	0	0	2.62653	0	0	0	0	0	0.33446	0.10063	0.37878	0	0	0	0.38586	0.30362	1.83093	0	0	0	0	0.72304	1.73936	0	1.69994	0	0	0	0	0	0	0.21207	0	0	0.20628	0	0.42238	0	0	0	0.18316	0.22943	0	0	0.13576	0	0	0	0	0	0	0.22042	0	0	0	0	0	0.48576	0	0	0	0.22642	0	0.64866	0	0.95214	0	0
s__Alistipes_onderdonkii	1.37909	0.33076	0	0	1.14936	0	1.70468	0	0	0.50669	0	0	0	0	0	0	0.30133	0	0.33167	0	1.20001	0	0	0.34027	0	0.11852	0	0	0	0.34068	0	0.21336	0.76127	0.14474	0	0	1.08974	0.62244	1.00412	2.79714	0.18011	0	0	1.12843	0.20327	0	0	3.45962	0.68575	11.29914	0.66648	0	0	0.1118	0	0	0	0	0	0.53003	0	0	0	0.84764	0	0	0	0.67166	0	1.33407	0	0	0.39084	0	1.37644	0	0.37233	0.22625	0.1172	0.34597	0	0.11676	0	0	0	6.96614	0	0.14144	0	0.1727	0	0	1.90645	0.69713	0.52025	0	0	0	0	0	0	0	0	0.14055	0	0.90151	1.93335	0	0	0	0	0	0	0.17489	0	0.1046	0	0	0.38729	0	0.11988	0	0.34764	0	0	0	2.73341	0.35166	1.12732	0.10121	0	0	0.11202	0.28287	0.19274	0.58319	0	0	1.92076	0.12932	0	0.31922	0	0	1.62491	0	0	0	0.49957	0	0	0	0	0	0	0.11431	0.14854	2.53272	0	0.4259	0	0.21198	0	0	0.18556	0	0	0	0	0	0.16789	0	0	2.57147	0	0	0	0	0	0.33297	0	0	0.12423	12.15965	0	0	0	0	0	0	0	0	0	0.78594	0.26387	0	0	0.63312	0	0	0	0.2389	0	0	0	0	0	0	3.20055	0	0.46042	0	7.57077	0	0	0	3.74072	0	0	0.47538	0	0	1.20811	0	3.32859	0.31543	0.35264	0	0	0.44913	0	0	0	0.33464	2.45965	0.39252	5.17484	0	2.25621	4.64825	5.73282	1.52078	0	1.3152	1.85404	47.94981	0.36397	0.58201	0	0	0	2.01001	0.73014	0	0	0	0	1.93154	0	0	0.48069	0.19074	0	0	0.11602	0	0.1007	1.70557	0	0.13786	0.10275	0.59939	1.72922	3.38953	2.35969	0	2.51518	0.94251	31.09873	55.63271	0.11061	0.48952	0.75052	0	3.54328	0	0.78465	1.91859	0	21.00391	12.38645	0.6146	2.18878	3.72874	0	0	0	0	0.26991	0.98228	0.38628	0	9.49308	15.21518	0.40979	0	3.78759	8.97099	1.88531	1.8801	2.0711	2.88678	0	0.8702	0.12252	0.13381	0.11356	1.6257	10.46958	0	3.92032	2.55446	2.09409	0.19005	27.60907	1.45499	0.33865	0.7851	0.36895	3.65923	5.89482	0.16829	0.90827	5.8112	5.24677	0	0	0	10.8579	0.13162	8.59066	0	16.66875	0	0	0.17439	0.14216	4.46137	0	0	28.45718	3.16079	0	9.93908	0	4.4416	21.97223	1.40819	0.23301	0	0.26766	0	0	0	0.75078	0	4.03163	11.99007	5.77366	0.71896	2.47108	17.29712	0	13.47729	0	3.40233	0	0	0.17953	0	0.80631	2.3979	9.12114	0	0.29398	0	1.27932	0.10238	0	0	0.43684	0.31761	0	0.6236	6.63553	0.36723	1.44683	0.16218	0	0	29.58126	0.33652	36.72643	0.16275	4.6072	14.26211	2.59256	2.94921	1.21748	0	0.18708	0.16979	0.17646	0	0.12543	17.48544	5.20918	0.64086	0.19477	0	0	1.01517	8.6186	31.57265	1.12104	0.96167	0	3.85407	0	0.11565	13.7033	0	0.11039	0
