Index,CON.001,CON.002,CON.003,CON.004,CON.005,CON.006,CON.007,CON.008,CON.009,CON.010,CON.011,CON.012,CON.013,CON.014,CON.015,CON.016,CON.017,CON.018,CON.019,CON.020,CON.021,CON.022,CON.023,CON.026,CON.027,CON.028,CON.029,CON.031,CON.032,CON.033,CON.034,CON.035,CON.036,CON.037,CON.038,CON.039,CON.040,CON.041,CON.042,CON.043,CON.044,CON.045,CON.046,CON.047,CON.048,CON.049,CON.050,CON.051,CON.052,CON.053,CON.054,CON.055,CON.056,CON.057,CON.058,CON.059,CON.060,CON.061,CON.062,CON.063,CON.064,CON.065,CON.066,CON.067,CON.068,CON.069,CON.070,CON.071,CON.072,CON.073,CON.074,CON.075,CON.076,CON.077,CON.078,CON.079,CON.080,CON.081,CON.082,CON.083,CON.084,CON.085,CON.086,CON.087,CON.088,CON.089,CON.090,CON.091,CON.092,CON.093,CON.095,CON.096,CON.097,CON.098,CON.099,CON.101,CON.104,CON.105,CON.106,CON.107,NLF001,NLF002,NLF005,NLF006,NLF007,NLF008,NLF009,NLF010,NLF011,NLF012,NLF013,NLF014,NLF015,NLM001,NLM002,NLM003,NLM004,NLM005,NLM006,NLM007,NLM008,NLM009,NLM010,NLM015,NLM016,NLM017,NLM021,NLM022,NLM023,NLM024,NLM026,NLM027,NLM028,NLM029,NLM031,NLM032,NOF001,NOF002,NOF004,NOF005,NOF006,NOF007,NOF008,NOF009,NOF010,NOF011,NOF012,NOF013,NOF014,NOM001,NOM002,NOM004,NOM005,NOM008,NOM009,NOM010,NOM012,NOM013,NOM014,NOM015,NOM016,NOM017,NOM018,NOM019,NOM020,NOM022,NOM023,NOM025,NOM026,NOM027,NOM028,MBE033,MBE034,MBE035,MBE036,MBE037,MBE038,MBE039,MBH207,MBH208,MBM135,MBM137,MBM139,MHS226,MHS229,MHS231,MHS232,MHS234,MHS235,MHS236,MHS238,MHS239,MHS240,MHS243,MHS244,MHS246,MHS247,MHS248,MHS249,MHS250,MHS251,MHS253,MHS255,MHS257,MHS258,MHS259,MHS266,MHS267,MHS269,MHS276,MHS277,MHS279,MHS282,MHS283,MHS285,MHS286,MHS287,MHS288,MHS289,WFC023,WFC024,MBS1236,MBS1233,MBS1232,MBS1239,MBS1237,MBS1235,MBS1242,MBS1243,MBS1219,MBS1238,MBS1216,MBS1215,MBS1217,MBS1218,MBS1220,MBS1223,MBS1222,MBS1226,MBS1228,MBS1227,MBS1230,MBS1231,MBS1234,MBS1240,MBS1249,MBS1251,MBS1247,MBS1248,MBS1256,MBS1253,MBS1255,MBS1254,MBS1257,MBS1258,MBS1263,MBS1259,MBS1261,MBS1260,MBS1262,MBS1264,MBS1557,MBS1537,MBS1590,MBS1559,MBS1549,MBS1536,MBS1558,MBS1547,MBS1568,MBS1555,MBS1525,MBS1516,MBS1526,MBS1515,MBS1538,MBS1523,MBS1539,MBS1563,MBS1542,MBS1545,MBS1530,MBS1517,MBS1560,MBS1548,MBS1534,MBS1524,MBS1564,MBS1519,MBS1565,MBS1528,MBS1553,MBS1529,MBS1543,MBS1520,MBS1551,MBS1552,MBS1546,MBS1561,MBS1544,MBS1540,MBS1531,MBS1527,MBS1532,MBS1541,MBS1535,MBS1562,MBS1550,MBS1556,MBS1566,MBS1567,MBS1533,MBS1439,MBS1570,MBS1571,MBS1572,MBS1573,MBS1433,MBS1575,MBS1576,MBS1582,MBS1435,MBS1436,MBS1583,MBS1586,MBS1589,MBS1588,MBS1593,MBS1591,MBS1574,MBS1578,MBS1577,MBS1584,MBS1580,MBS1579,MBS1585,MBS1587,MBS1599,MBS1592,MBS1594,MBS1598,MBS1595,MBS1596,MBS1601,MBS1612,MBS1613,MBS1615,MBS1614,MBS1603,MBS1609,MBS1602,MBS1600,MBS1606,MBS1605,MBS1604,MBS1608,MBS1610,MBS1611,MBS1616,MBS1518,MBS1521,MBS1522,MBS1554,MBS1434,MBS1438,MBS1440,MBS1454,MBS1457,MBS1453,MBS1456,MBS1455,MBS1460,MBS1441,MBS1442,MBS1444,MBS1443,MBS1447,MBS1446,MBS1448,MBS1449,MBS1450,MBS1452,MBS1451,MBS1458,MBS1461,MBS1459,MBS1464,MBS1465,MBS1467,MBS1468,MBS1469,MBS1470,MBS1474,MBS1471,MBS1472,MBS1473,MBS1475,MBS1483,MBS1477,MBS1478,MBS1479,MBS1480,MBS1481,MBS1482,MBS1486,MBS1484,MBS1492,MBS1485,MBS1487,MBS1494,MBS1488,MBS1489,MBS1490,MBS1491,MBS1493,MBS1495,MBS1496,MBS1497,MBS1499,MBS1498,MBS1500,MBS1501,MBS1502,MBS1503,MBS1504,MBS1505,MBS1506,MBS1509,MBS1508,MBS1511,MBS1507,MBS1510,MBS1513,MBS1514
g__Abiotrophia,0,0,0,0.00066,0,0,0.00411,0,0,0,0,0,0,0,0.03219,0,0.01115,0,0,0,0,0,0,0,0,0.00445,0.03293,0.00205,0,0,0,0,0,0,0.00726,0,0,0,0.00023,0,0,0,0,0,0,0,0,0.02751,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0.00417,0,0.011,0,0,0,0,0,0,0.00033,0.02777,0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0,0,0,0,0,0,0.0153,0,0,0,0.00726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Achromobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Acidaminococcaceae_unclassified,0,0,0,0,0.00264,0,0,0,0.88377,0,0,0.1754,0,0,0,0,0.00574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.00749,0,0,0.07767,0,0,0,0,0,0,0,0,0.02161,0,0,0,0.00852,0,0,0,0,0,0,0,0,0,0,0,0.00906,0,0,0,0.19336,0,0,0,0,0,0,0.01824,0,0,0,0.05915,0,0,0,0,0,0.01006,0,0,0,0,0,0.00526,0,0,0,0,0.00215,0,0,0,0.00349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,0,0.01442,0,0,0.00277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905,0,0,0,0,0.39628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0,0,0.43467,0,0,0,0.1381,0.02554,0,0.22017,2.09527,0,0.41479,0,0.00745,0,0.11415,0,0.03036,0.16298,0,0,0,0.05443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88327,0,0,0.03341,0.12381,0,0,0,0,0.0354,0,0,0,0.04292,0,0,0,0.14427,0,0,0.46768,0,0,0,0,0,0,0,0.01792,0,0,0.04118,0,0.30279,0,0.4604,0,0,3.92837,0.03627,0.06578,0,0,0,0,0.42277,0,0,0,0,0.39969,0,0,0,0,0,0,0,0,0.07043,0,0.19399,0,0,0,0.14988,0,0,0,0,0,0,0.41769,0,0,0,0.41566,0,0,0,0.74,0.88356,0,0,0,0.14598,0,0,0.0132,0,0,0,0,0.04551,0,0.23053,0,0,0,0.84623,0,0,0,0,0,0.00538,0.10891,1.34652,0.49816,0.10477,0,0,0.23091,0,0.01787,0.03948,0.19719,0,0,0,0.06366,0,0,0,0.29903,0,0.00402,0,0,0,0,0,0.01385,0,0,0,0,0.02152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00718,0.60078,0.62368,0,0.39548,0,1.86286,0,0.32312,0,0,0.23566,0,0.15337,3.67333,0,0,0,0.29808,0,0,0,0,0,0,0,0,0.7885,0,0,0,0.6588,0.84982,0.27479,0,0,0,0,0,0,0.26421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20796,0,0,0,0,0,0.14031,0,0,0.72687,0,0,0,0,1.98481,0,0.52375
g__Acidaminococcus,0,0.01436,0,0,0,0.29914,0,0.00139,8.33645,0,0,0.02465,0,0,0,0,0.00408,0,0,0,0,0,0.01675,0,0,0.00568,0,0,0,0,0,0.25057,0,0,0,0,0,0,0.01556,0.04924,0,0,0,0,0,0,0,0.00213,0.04414,0,0,0,0.02498,0,0,0,0.15205,0.01908,0,0,0,0,0.01945,0,0.00311,0,0,0,0.64642,0,0.02712,0,0.01638,0,0.00428,0.00028,0,0,0.11299,0.22988,0,0.13042,0,0,0,0.03527,0,0,0,0,0,0.00468,0.02873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01755,0.02425,0,0,0.00313,0,0,0.07626,0,0,0,0,0,0,0,0,0,0,0,1.31278,0.01879,0,0,0.0064,0.00623,0,0,0,0,0,0,0,0,0.01146,0.01454,0.00653,5.33363,0.22658,0.10709,0,1.94039,0.07664,0,3.16391,14.60179,1.61836,18.72469,0.00635,0.50463,0,2.5274,0,0.11316,7.13803,0.04065,0,0,0.4214,0.01017,0.0993,0.00422,0,0.00016,2.79159,0,0.14706,0,0.65698,0.00223,0,0,0,0,15.43091,0.00595,0.02344,0.17737,2.47818,0.19396,0,0,0.00135,1.09097,0,0,0,0,0.18382,0,0,0.60873,0,0,0.84873,0,0.13954,0,0,0,0,0,1.1594,0,0,0.10539,0.00974,1.97139,0,1.60221,0,0,16.90625,0.01919,0.30564,0,0.07702,0,0,2.06116,0,0,0,0.09008,0.45553,0.00296,0,0,0.16869,0,0,0,0,0.23734,0,0.63092,0,0,0.04179,0.6728,0,0,0,0,0.1878,0,1.16992,0,0.13608,0,0.56247,0,0,0.29732,1.06037,3.57054,0,0,0.01594,0.637,0.00379,0,0,0,0,0,0.01313,0.39184,0,2.03447,0,0,0,4.6497,0.0683,0.08601,0,0,0.35604,0.10867,0.57847,6.06418,2.11472,0.74718,0,0.00456,0.43132,0,0.06459,0.05197,0.58068,0.2354,0.08463,0,0.03328,0,1.61846,0,1.3191,0,0.04485,0,0,0,0,0,0.03186,0,0,0.01052,1.25801,0.00159,0,0.6642,0,6.66123,0.00402,3.42953,0.36315,0,0,0,0.37533,0,0.15396,0.00558,2.12731,1.88114,0,1.26853,0,7.38294,0,1.11324,0,0,3.03208,2.06467,1.27101,8.5615,0,0.67026,0,0.82273,0,0,0.14325,0,0,1.3083,0,0.05097,2.31191,0.0031,0,0,2.83626,2.98333,0.98862,0,0,0,0,0,0,1.77667,0,0,0.06162,0,0,0,0,0,0.30577,0.01848,0.08099,0.02408,0.1566,0.41605,0,0,0,0,0,0.77182,0,0.73887,0.07199,0,0,0.56222,0,3.64181,0.01353,1.05004
g__Acidobacteriaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732,0,0.16118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Actinobacillus,0,0,0.00882,0,0,0,0,0,0,0,0,0.01955,0,0,0.36927,0,0,0,0,0,0,0,0,0,0,0,0.01093,0.00651,0,0,0.00413,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0.00415,0,0.03462,0,0,0,0,0.00461,0.00491,0,0,0,0.00456,0.01189,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0.00436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00352,0.01629,0,0,0,0,0,0.00558,0,0,0,0.00659,0.01397,0,0,0.00927,0,0,0.02659,0,0,0.16786,0,0.00381,0.01414,0,0.01866,0,0,0,0,0,0.00486,0,0.01484,0,0.01264,0,0,0,0.02568,0,0,0.00838,0,0,0,0,0,0.00551,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0.36814,0,0,0,0,0.00755,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10585,0,0,0,0,0,0,0,0.01017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Actinobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Actinomyces,0,0,0,0,0,0,0,0,0,0.02225,0,0,0,0,0,0,0.01837,0,0,0,0,0,0,0,0,0,0.02295,0.00629,0,0,0,0,0,0,0.00922,0,0.00202,0,0,0,0,0,0,0,0,0,0,0.08024,0,0,0,0,0,0,0,0,0.00934,0,0.00302,0,0,0,0,0,0,0.01307,0,0,0,0.00389,0,0,0,0,0,0,0,0,0,0.0035,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0.03136,0.01777,0.00605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03642,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0,0.26355,0,0,0,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01449,0.02094,0,0,0,0.02826,0,0,0,0,0,0,0.00452,0,0,0,0.00478,0.00238,0,0,0.03324,0,0.08237,0.0462,0.01408,0.02963,0.0051,0.00972,0.25207,0.08963,0,0.03313,0.04543,0.008,0,0.60335,0.03345,0,0.01377,0.17453,0.0018,0.00616,0.01666,0.01542,0,0.07107,0.02208,0.30325,0.02065,0.00093,0.00919,0,0.0548,0.00134,0.10622,0.07345,0.03937,0.28306,0.32869,0.52665,0.14374,0.04711,0.00686,0.01509,0.01203,0.17366,0,0.11295,0.10673,0.00462,0.02292,0.07788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0.04946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05305,0,0,0,0,0,0.07372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Adlercreutzia,0.05473,0,0.00031,0,0.01488,0.10586,0,0,0,0,0.04888,0,0,0.14116,0,0,0.01203,0.07903,0,0.05201,0,0,0.05847,0.12242,0,0.02518,0,0,0.17203,0.02447,0.00062,0,0,0.07737,0,0,0.03244,0.47608,0.0037,0.07785,0,0,0,0.00709,0,0,0,0,0.03386,0.10698,0,0,0.08838,0,0.09883,0.21109,0,0.03838,0.02865,0.01141,0,0,0.05486,0.11819,0.03147,0,0.04346,0.02652,0,0.10552,0,0.10023,0.03162,0,0.06169,0,0,0.07414,0.00456,0.03958,0.00301,0.0758,0,0,0,0,0,0,0,0.00412,0,0,0.06159,0.52828,0.04428,0.04179,0,0.01383,0.00057,0.1529,0,0,0.00404,0.03351,0.04285,0.00183,0.02821,0,0.00646,0.01608,0.0079,0,0.01963,0,0,0,0.01019,0,0.00969,0,0,0,0.03386,0.00404,0,0,0.01433,0,0.03017,0,0.15882,0,0,0.04633,0,0.0246,0.11099,0,0.10254,0.00778,0,0,0.11979,0,0,0.06413,0.61992,0,0.04199,0.10016,0.01142,0,0,0,0,0.05382,0.06511,0.17999,0,0,0.00056,0.16616,0,0.01608,0,0,0,0,0,0,0,0,0,0,0,0,0.14793,0.19211,0,0,0.18765,0,0,0,0.54768,0,0.70655,0.55306,0.08632,0,0,0.01258,0,1.12075,0,2.00358,0.12471,0.216,0,0,0,0.15407,0.09875,0,1.02189,0,1.66171,0,0,0,0.00491,0.02624,0,0,0,0.45001,1.37752,0.2697,0.24412,0.18451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18586,0,0,0,0,0,0,0,0,0.06115,0,0,0,0,0,0,0,0,0,0,0,0,0.00263,0,0,0,0,0.03895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01912,0,0,0,0,0,0,0.03951,0,0,0,0,0,0,0.00333,0,0,0,0,0,0,0,0,0,0,0.00736,0,0.0101,0,0,0.013,0,0.03533,0,0,0,0,0,0,0.14451,0,0,0,0,0,0.31191,0,0.11435,0.02484,0.01535,0,0,0,0,0,0,0,0.02665,0,0.11856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089,0,0,0,0,0,0,0,0.01088,0.00454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04345,0,0,0,0.22645,0,0,0,0,0,0
