"","Index","MBH043","MBH060","MBH068","MBH069","MBH078","MBH089","MBH094","MBH095","MBS1115","MBS1116","MBS1123","MBS1124","MBS1141","MBS1150","MBS1151","MBS1152","MBS1159","MBS1160","MBS1163","MBS1168","MBS1169","MHH256","MHH257","MHH260","MHH263","MHH264","MHH265","MHH266","MHH335","MHH336","MHH343","MHH344","MHH346","MHH347","MHH348","MHH351","MHH352","MHH356","MHH357","MHH358","MHH359","MHH366","MHH369","MHH370","MHH372","MHH373","MHH374","MHH375","MHH376","MHH380","MHH381","MHH383","MHH384","MHH392","MHH393","MHH394","MHH395","MHH396","MHH520","MHH540","MHH545","MHH552","MHH553","MHH554","MHH563","MHH564","MHH565","MHH566","MHH567","MHH573","MHH574","MHH589","MHH590","MHH592","MHH594","MHH595","MHH596","MHH597","MHH607","MHH616","MHH617","MHH619","MHH621","MHH622","MHH623","MHH624","MHS119","MHS120","MHS124","MHS127","MHS132","MHS136","MHS137","MHS138","MHS141","MHS142"
"1","p__Bacteroidetes",62.15134,41.2761,71.80355,72.08884,50.71352,24.90767,55.02952,71.33471,43.87987,68.83447,67.56736,28.46483,0.93909,43.76508,34.92645,38.99126,51.27252,26.67518,20.22506,24.33051,11.22999,38.75905,23.69639,29.66631,31.26902,22.58064,7.5469,21.1457,25.79617,13.73387,64.6242,28.68025,55.65412,33.59534,41.60178,21.16582,30.5359,8.37936,27.34366,45.49009,10.91145,57.76727,62.96409,64.6281,45.34673,24.10944,70.59668,26.34203,38.74682,40.86872,25.7153,17.40508,61.81731,34.6675,27.76249,46.61594,37.03417,26.39203,40.11193,69.00383,66.18747,59.46218,42.86984,61.21656,41.85308,64.16745,46.43889,41.31203,66.72961,63.21726,21.7342,51.87519,43.5324,60.2278,13.47152,60.55919,34.64321,27.96212,56.74857,49.02311,40.41241,62.55277,30.92638,50.20663,24.50218,35.11304,35.7154,34.04155,15.15771,59.23142,51.86567,74.40779,14.62875,72.02628,47.18715,69.35721
"2","p__Firmicutes",17.0151,28.37689,12.49518,20.60311,33.02817,21.22084,27.024,23.14669,35.52732,18.86664,25.13856,52.05879,46.46454,11.76525,50.81166,36.44003,31.94793,17.1324,63.65721,33.59139,56.74259,46.26717,35.94878,53.30246,48.59528,51.53658,38.9761,55.43935,67.87531,53.40459,29.96815,48.35653,27.3895,11.02052,33.22887,49.84821,53.92471,49.66944,45.84354,27.84582,69.13351,28.23415,26.72377,12.49623,13.68593,50.67294,17.50144,54.47768,42.73923,34.42036,36.13151,18.05207,25.29199,37.82073,41.14018,33.40382,53.11824,56.58442,6.95509,20.28402,12.39266,30.45006,40.27453,29.0569,23.14457,14.9372,33.68378,39.97795,6.5801,23.85277,64.91109,5.37153,42.03054,23.38217,26.40633,18.78876,51.10437,38.69611,35.65125,8.36394,5.65479,25.66145,62.10206,34.89222,49.65878,34.67258,34.81663,25.95701,62.8718,28.79589,7.77412,17.75413,41.86588,18.76946,30.70084,8.77301
"3","p__Actinobacteria",16.2565,26.96504,2.68937,2.67792,13.13203,12.56026,1.02321,2.71702,1.97457,9.85172,3.4923,7.8268,50.88745,3.63245,9.05121,2.09939,14.3259,12.94085,14.77853,8.87147,2.84475,10.36806,38.06493,3.8377,4.49278,1.71682,52.58204,11.03151,2.57496,27.21058,1.40555,5.6185,3.88437,14.27003,21.3995,4.87795,5.17275,27.32253,12.89639,25.35066,18.9144,6.1529,5.39899,2.33492,4.93754,3.32092,9.75731,15.40087,16.59757,22.46706,31.54007,1.48561,0.53437,1.52209,28.6357,14.56783,8.60874,15.62773,23.23775,5.42335,0.90772,6.46154,5.19385,2.29221,3.84514,8.4564,4.32658,0.74958,22.04034,11.26911,11.44529,11.76763,3.7735,0.8121,54.29229,13.88653,5.4655,24.68802,5.75825,2.60972,14.41607,7.6737,0.99802,13.55604,23.92356,6.56169,20.64801,33.49721,0.62853,10.30976,8.66805,0.6098,29.26949,6.0971,15.92225,3.03575
"4","p__Proteobacteria",3.82604,3.34249,13.01109,4.62004,3.12305,40.90127,15.92561,2.79237,18.27621,2.43806,3.71904,11.48946,1.70722,39.65858,4.81436,22.45627,2.44138,27.45909,1.28963,18.55084,29.16743,4.60572,2.14169,13.1657,8.19624,24.16597,0.89496,12.07239,3.74957,5.64166,3.9592,17.34472,12.92943,40.39512,3.57832,22.02573,10.26237,14.51197,12.52603,1.29475,0.99493,7.78691,4.91315,20.54075,35.97876,21.5259,2.14139,3.76401,1.91638,2.24385,3.69428,52.86185,12.35633,23.8884,1.44075,1.20554,1.23499,1.33668,29.69523,5.28246,20.5013,3.41955,10.74406,7.42103,31.15721,10.94793,14.0661,16.78104,4.64531,1.66086,1.65783,30.98564,7.05617,6.94731,4.59347,6.74227,7.91274,5.61166,1.78831,39.98758,39.51673,4.11207,5.7022,1.33055,1.89823,13.69718,3.47711,5.24583,21.34195,1.66293,31.68722,7.17147,4.14408,3.10716,3.6284,18.06845
"5","p__Viruses_noname",0.68344,0.03523,0,0,0,0.02441,0,0,0.27426,0.00593,0.08275,0.00592,0,1.17865,0,0,0,0,0,0,0,0,0.13307,0,0,0,0,0,0,0,0,0,0,0.71899,0,0,0.10427,0,0.93203,0,0,0,0,0,0.05104,0.3708,0,0,0,0,0.00177,0,0,2.02209,0,0,0.00385,0.05915,0,0,0.00385,0,0,0,0,1.49102,0,0.44811,0.00463,0,0.20738,0,0.0028,0,0.0104,0,0.75679,0,0,0,0,0,0,0,0,0,0.01679,0.00268,0,0,0,0,8.62096,0,0,0
"6","p__Fusobacteria",0.06036,0.00355,0,0,0,0.34057,0.9951,0,0.02191,0.00318,0,0.13004,0,0,0.11442,0.01305,0,0.41936,0,0.21015,0,0,0,0.02783,0.20107,0,0,0.27219,0,0.00566,0,0,0,0,0.09741,0.00509,0,0,0.17514,0,0,0.05733,0,0,0,0,0.00319,0,0,0,0.00632,0.14641,0,0.07919,0,0.02738,0,0,0,0,0,0.19372,0.28717,0,0,0,0.1784,0.1773,0,0,0,0,0.11812,0.07607,0,0,0.0656,0,0.03005,0.01565,0,0,0,0,0,0.21986,0,0,0,0,0,0.05681,0,0,0,0.34903
"7","p__Deinococcus_Thermus",0.00497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331,0,0,0,0.00353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","p__Euryarchaeota",0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97268,0,0,0,0,0,0,0,0,0,0,0,4.40312,0,0,0,0,0,1.29197,0,0,0
"9","p__Candidatus_Saccharibacteria",0,0.00069,0,0,0,0.00064,0,0,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0,0,0,0,0,0,0,0
"10","p__Ascomycota",0,0,8e-04,0.01009,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,0,0,0.14258,0,0,0.76351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322
