org_list	MBE035	MBE036	MBE037	MBE038	MBM135	MBM137	MBS1533	MBS1558	MBS1559	MBS1563	MBS1567	MBS1579	MBS1587	MBS1592	MBS1594	MBS1605	MHS232	MHS236	MHS238	MHS239	MHS243	MHS246	MHS253	MHS266	MHS267	MHS276	MHS279	MHS283	MHS287	MHS289
Eubacterium rectale	26.907421891071408	0	0	6.710198625078063	3.014734866904365	5.960296122874924	2.1819916349760113	2.899392742357082	0	3.5378345828754187	0	5.688094179042139	0	0	0.5394985415828183	0	0	0	0	5.3104533757377625	3.6643435655463916	4.6416391849063885	9.154994118710997	1.397719571778973	0.13713079312399637	0	0	0.18734895167687018	0.6328201976000308	0.1758683844140528
Faecalibacterium prausnitzii	26.50687079973042	0	7.648990235346746	12.178009831545054	5.436862167624408	17.340914091965168	0.8761225364742535	2.1737638705704145	0	3.262251589884386	1.9683227724672543	3.0165269261286025	3.204529358015521	0	1.3947438719623304	2.0242231807955404	11.152020074877193	17.073632171694847	14.082498629393255	23.737151867350466	14.100070606961054	20.852520355247776	5.144377855925211	13.565364085382821	5.96135860661394	0	1.4034105197393112	15.152629951852573	1.1785387672716494	1.7931732161446001
Bacteroides stercoris	5.1852786354252185	0	0.1488335176861341	0.6343199376807065	0	0.8195381712397332	24.725123789918772	2.446614959807041	0	0	0	0	1.926384671535819	0	0.7525183830762311	3.2326102960405287	9.158981101101363	0	0	0.6186625981335618	8.064277406904763	0.2721598052644475	0	0.1783066789378467	0.25573122080401894	0	0	0.15282506488772102	0.5618612695158599	0
Ruminococcus bromii	3.2046007979280198	0	0	14.990072027653934	0	2.897994664916885	0	1.1413379556693533	0	4.869771871670523	0	1.9329160384534323	0.32032450528408046	27.92923976002869	0	0	4.650225837323471	5.562522051935096	0	0	5.177237221595863	0	0	0	0	0	3.0341729406209503	0	0	0.2500860203721827
Bifidobacterium adolescentis	3.1907618507231477	0	19.03370278061326	17.26531187161337	0	0	0.175334960956676	0	0	0	0	4.269656688342597	0	0	3.9716972897018263	0.5888215162852083	16.33964440143902	8.296485479180946	0	2.418840508609886	0.4652739922130147	19.23372082280591	54.854379931674266	27.103582154512235	23.099805400718644	0	22.651214644115875	1.0105136608442105	26.116951629596425	25.504174818169332
Alistipes onderdonkii	2.808709863388666	0	0	0	0	0	2.969362608735494	1.6043732979651326	0.11542415334071393	33.78269401482466	2.032426694186293	5.3354410659220495	0	11.058700177731719	0.13288958582813182	9.494013502914415	0	0	0	0	0.8685646971665014	0	0.22198983004349362	0	0	0	0	0	3.6456949133156287	0
Bifidobacterium longum	2.417519520850967	31.171759967493916	2.393904175761117	4.9834028939294734	1.6510639896218198	0.6111813542337765	0	0	0	0	0	6.454543006632757	0	0.11043031696809211	0	0.21507706405442117	6.35406792222095	6.436072707511244	0	5.237168693432436	1.54463848103641	5.77197302302041	1.7355366215949928	1.0789498166142577	13.80263598000263	0	0	1.8016110877582037	11.791116708779308	21.194475486909827
Dorea longicatena	2.3920756712420106	0	1.5807706566830657	3.0090162043289292	0	4.352083308513191	0	0	0	0.2947403580577242	0	0	0	0	0.6331321917587216	0	0	0.6283838314197998	2.331723073287329	5.931062123110968	0.5844485135334052	1.7452491032443875	0.9465193168074575	0.4483011398069712	0.5622027631961369	0	0	0.3739902394956904	0	0
Subdoligranulum unclassified	2.2893500456058513	1.1599466190039607	0.8998489312871545	3.5755947064950098	2.5905970361443056	8.120162681646526	4.046030131758946	0.5535646232832863	0.12386141353922682	1.3806647292285892	2.9889492175541794	1.5340111793780178	0.24093773907784594	2.403823028161253	1.1049822670591114	0.7459107284506388	0	2.6457354092230827	0.3870125611929102	2.3685548503918046	4.211780039501077	6.630267560543556	1.5480009889143669	0.7257360723226058	1.0205502361657528	0.5503631268111422	0	4.740256024696256	0.8994383820877682	10.470280913244459
Collinsella aerofaciens	2.0575754791242664	0	3.7009650251901416	6.397107787034013	3.6111591283233517	6.367336265724896	0.13229894160846714	0.1753486888160563	0	0	0.13970925841612242	0.36403130582172716	0.12582014110024023	0	2.521746281230899	1.5934013628359174	3.8851788864678714	2.720448379208117	0	8.673601985720941	0.6497276010941248	3.9708800456311035	5.130883463887025	12.716559965621151	9.558106598514971	0	0	3.441379451180393	8.371733929774997	4.3079834926169704
Eubacterium eligens	1.9910595751008529	0	0	0.11850964803028323	0	0.9509652769525611	0.6973001034173545	1.3493996699996493	0	0	0	0.5301387471395083	1.1777809357531035	1.1892925011096818	1.4724060914773553	0	0	0.5423964927791317	0	0.9063480550062866	0.9346020209928326	1.4177776528099681	0	0	0	0	2.8125701680132558	0.7396199359827055	0	0.5161933033356005
Roseburia inulinivorans	1.9387263174824316	0	1.0457360553539983	0.12058965037281012	0.7690438956301465	0.601711515517349	0	0	0	0.4595139164862218	1.2316343429616559	1.0453360241476832	0.8759170121673818	0	0	0	0	0	7.194026413431614	1.4270544747444567	1.986902530042332	0	0	0	0.7643927966603938	0	0	0.9349654892555395	0.10789853583076042	0.1114178299595783
Roseburia hominis	1.8904567974654407	0	0.289173293766315	0.2726216662535271	0.18673534833301292	0.45152801957262917	0.589444148083179	0	0	0	0	0.9494818366994494	0.5726748098575747	0	0	0	0	0	3.2086403289978223	1.91072324176566	0	0.4078380256514281	0.13986016815590532	0	0	0	0	0.9256950927150858	0	0
Ruminococcus obeum	1.493888573325849	0	0.7179040453069995	3.2222972212279384	0.3931599974797695	1.315869728825568	0	0	0	0.12494241417374083	0	0	0	0.9937003370550035	0.23900502538688742	0	0.47275246080197597	2.1096351241194435	3.5658965936569893	4.515198006494463	0.2958536810247634	1.264294866902588	0.8343459185230054	2.34690389862393	0.7851963285115143	0	0.20613440055384608	1.7723138040349375	2.8512246397627754	0.4570730168534951
