Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),970.0712076878,98.4662632297,2662.427542263,1738.4424788505,2819.3434543516,1395.453659557,1116.2848717963,1115.5342639059,1467.1454628014,1063.5473755601,1559.4798527376,607.3870649875,2218.1038362223,1296.9675172857,869.2403774021,363.5512557734,998.7141205572,876.3666133217,1074.3856140374,767.3235113026
PWY-621: sucrose degradation III (sucrose invertase),3032.0621811238,453.2737603337,2162.5473603152,1878.7486210515,1733.8410510326,2949.7333256357,876.6932928699,1827.8735328266,3550.3643038153,3010.902069228,2749.6040340677,1503.8192353442,4275.9054265701,2967.4143106801,3854.2435644555,271.4822233464,489.9828656839,1227.178212175,1039.243909412,378.4033311199
PWY0-1533: methylphosphonate degradation I,22.8666079728,32.4305065712,0.0,34.7426637317,3401.4110547387,2.7898948938,15.967092803,25.2200149004,6.163274734,0.0,6.2741561701,0.0,1.0020560951,0.0,4.1972177396,1.9375684569,125.5959690063,216.6239231669,26.6509811556,31.8251606392
PWY-6123: inosine-5'-phosphate biosynthesis I,3756.9796448705,3184.8716605584,3013.3123170231,2317.8289303769,4627.884732376,2721.2460455374,2511.8724807988,2358.5667376456,2870.9570092348,2535.8656616168,2740.1654454126,1466.1151030605,2747.0328065435,3993.6850164295,4084.3965210464,889.9288996982,1640.6907142102,2221.9003974283,2003.9578416733,1123.9558080217
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",29.3670558687,1.3436095412,0.0,14.1487016032,88.0322536406,0.7554663161,0.6422775863,21.3408324911,1.5009756215,0.0,2.2466095745,0.0,1.4740470247,0.0,0.0,0.0,2.7231496661,57.6089854082,6.0183461596,7.1360099027
PWY-6549: L-glutamine biosynthesis III,0.0,7.3352645381,94.5414251357,6.9780354058,33.2986000494,0.0,0.0,101.4522464373,3.3479114307,185.0459836854,0.0,0.0,71.6207742484,95.986359898,32.9235772969,6.2835603381,0.0,74.116570851,35.9108343103,46.8563798493
PWY-6700: queuosine biosynthesis,1409.1303424369,2176.0948764929,2766.5862210087,600.2937695428,3675.7096028786,2428.7835581501,2350.9720841462,2053.0998874213,2024.750619981,1289.0031326398,2198.4750821275,1118.1413892372,1361.8869338393,2106.0963492662,1373.787046789,2272.7467785456,3381.7125856616,4902.4924763554,1356.7222047557,671.8228889162
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I,1594.1842705566,1978.1659706342,1339.9119893229,1055.0696181032,3588.4835349458,2420.2402731487,1109.9728002155,1509.0471458998,2837.0942973116,1692.8323857915,2279.1986833231,1067.2230986345,2531.9882871272,1663.0214128831,2790.0190929757,88.796972942,1926.0194336592,1581.8518790859,526.6686505069,660.2041246824
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),1075.6524240919,2553.6894486023,1262.5953953141,880.9118793105,6108.3986923313,915.5713353786,1162.1540975756,1059.0561506181,88.0638342776,872.4591855428,761.7360455876,779.0538097764,2117.3947315227,2850.4774843602,2884.6978819941,603.8871473201,724.8098188164,3324.9440572594,2065.5616076009,1074.4744790715
PWY-6895: superpathway of thiamin diphosphate biosynthesis II,464.5457575347,360.5316081492,434.2190345945,351.7094230663,3648.031124048,17.6294349973,352.3598129146,468.6113861093,19.267415082,0.0,129.1539590355,0.0,0.0,120.3869706947,48.1226416747,96.7726669387,891.4152007834,1470.7165383761,101.7336346286,243.8525459908
