Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MBS1533,MBS1558,MBS1559,MBS1563,MBS1567,MBS1579,MBS1587,MBS1592,MBS1594,MBS1605,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
METHGLYUT-PWY: superpathway of methylglyoxal degradation,0.0,3.3928786806,0.0,3.693437232,287.045180902,0.0,38.7216665149,9.5893779043,9.5026510657,2.1415802455,2.5157199863,0.0,0.0,1.5203237782,0.0,1.3550493851,4.279762076,2.4641320206,0.0,0.0,0.0,0.0,0.0,0.0,2.6194971259,0.0,14.9691920617,16.8137747833,0.0,2.4712106612
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,0.0,0.0,0.0,0.0,542.7726813542,0.0,0.0,24.0745253828,24.0582553501,0.9295907254,0.0,0.0,0.0,18.4378018958,0.0,2.9370052482,9.9569089354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9369204293,38.566497576,0.0,2.2324314413
PWY-4242: pantothenate and coenzyme A biosynthesis III,167.3868459061,365.8225359648,164.5534977161,208.7559984348,806.5659560607,174.0854313765,135.8311611952,311.5677740492,472.9993118327,174.1845485575,120.0207155036,163.5966260907,487.7114881796,132.9615220569,124.7667174893,47.7956513634,143.1670071477,149.3508339416,26.0554937881,104.8127314565,177.4756501715,84.3938716113,86.027115713,221.4333228092,85.6769917901,2.4078759692,355.6465969632,172.364057501,53.4556300753,103.7282354683
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),84.3244673011,0.0,42.6360263226,58.9696898623,348.7949502456,9.6176102019,135.4287846655,78.381737106,0.0,19.6549227245,0.0,82.0975178728,0.0,62.2674348899,38.6785432363,12.8603216115,37.4185849715,15.4290019564,0.0,0.0,17.0010695505,0.0,0.0,10.2852865436,12.3732118045,0.0,0.0,15.8355288901,17.3858481087,24.6882050596
PWY-5484: glycolysis II (from fructose 6-phosphate),108.7216939393,487.5372811783,99.8856938995,182.8933369053,1129.0240599537,38.3610114157,517.4306337136,450.6010708954,755.059918814,286.3871746241,245.615171695,368.4903132187,420.9740049972,372.9268800348,227.688923298,105.7061707004,245.194579977,173.080686042,63.6352397725,19.6921678104,120.3102889256,20.2680829373,59.7740096934,270.3045468374,111.5525807396,169.5740233197,513.3428916701,202.5832139392,142.9988464508,143.7487912665
PWY-7400: L-arginine biosynthesis IV (archaebacteria),675.2055524471,723.3867772141,654.8794852293,452.2779708846,1291.6250557657,543.7545664006,422.6244477091,232.7906365393,102.8690657501,49.6313686876,100.3873072363,266.9325079765,65.2366713865,306.5672651204,262.4707320848,211.2855418129,506.4400707903,540.4165666404,99.39782915,423.5364213644,381.1659370393,313.4497160805,924.08828765,1095.0355549028,1301.249319025,293.5796200903,263.719418596,951.9479588413,840.9513718549,361.8894338104
PWY-6892: thiazole biosynthesis I (E. coli),53.4008854468,23.3998834239,37.5805830284,37.0501484509,790.5890181575,0.0,167.4572531754,146.8051039764,167.5307211192,24.6507712124,13.5255211214,105.894753449,45.9325009921,76.9226731849,64.7573163936,20.1958627969,27.5217325201,62.8813017574,4.9354359467,0.0,8.9035542106,0.0,0.0,4.5309438706,0.0,6.0594178341,75.9812425011,172.2178669463,20.9396953772,21.2271903194
PWY66-389: phytol degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7024679613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLYCOCAT-PWY: glycogen degradation I (bacterial),66.844522766,13.9629512455,95.1824962995,21.6695852298,102.3576918671,51.9676070948,54.8570468254,112.7452331334,17.7210299792,27.032455653,19.3467277032,25.9806596403,0.0,26.7691082361,13.3336863612,15.1373764883,3.7449575105,31.1050707202,205.0549121287,42.8584138359,61.8535195729,3.5468903395,3.7206836825,21.7643803993,3.5864688787,0.0,54.081724167,47.8479185116,9.1607474447,13.4066217066
PWY-6612: superpathway of tetrahydrofolate biosynthesis,32.3804368768,5.6667474583,0.0,56.0963275531,613.0534350349,107.5649627406,101.3767511113,20.5719639688,58.8943072729,33.1452750228,7.8608520305,4.3160249631,2.8231675482,43.341241194,21.4103820953,4.0850862573,19.6691016624,38.2944191345,0.0,75.7484525223,41.762877946,18.5140346161,194.8845382214,34.35095795,22.0305608461,0.0,38.552846796,77.061113076,46.4838233943,30.5626821861
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,921.7368950005,50.3888179668,525.7346054887,798.6011676942,797.222203543,695.7239196344,300.0276461408,248.8721838052,52.6224030341,229.2692628462,111.5530778071,189.0504091495,70.6587336615,622.4037652418,248.4671510152,62.1011440539,447.3238938838,589.3504638254,700.5988020771,578.7366346405,643.6403367168,333.0019711787,736.2330352889,730.0778868967,809.7618425893,12.3029792003,192.6790732466,541.1527788752,216.8365321653,175.1100846764
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,1247.3098069383,853.1514307249,1234.2556450644,1062.1576308697,1390.9326365397,990.3192010176,599.2162872498,435.9471103382,245.3963111966,636.3917541735,457.310581719,506.1054226095,281.2664807983,476.3987759306,359.1430388117,256.5804200753,953.0596235284,1004.267022815,1007.0008831721,821.0852638239,803.6973410624,459.2565024527,1180.8621145935,1286.710187288,1537.4263289754,508.8414905267,744.9886813158,1014.6495850641,973.7035303653,371.1039986876
PWY-922: mevalonate pathway I,1.7235317411,5.6437709689,2.7363633283,0.0,0.0,0.0,9.3097552164,0.0,0.0,0.0,0.0,5.422682461,0.0,0.0,4.9063018883,0.0,0.0,0.0,0.0,0.0,2.0811947769,0.0,4.9235657454,31.9964091777,9.878709313,0.0,0.0,2.8797193963,0.0,0.0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),48.4417209229,21.4329536459,47.0142970735,44.5938945377,985.3233541213,4.4839206613,149.9527423103,211.5033063776,96.118589945,10.8952120236,4.4358049436,106.4565092109,7.7256137546,66.0724616137,138.2512925259,44.3748892203,22.031711763,19.3513594597,44.5765192879,0.0,9.25938443,0.0,0.0,5.3414367349,9.0627838121,25.6100036398,24.504837871,97.7172425382,10.1996596142,48.7793838087
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,37.5368507928,17.5254110504,0.0,63.8882855075,759.0261936381,0.0,111.5597849331,56.5585392712,86.0599145641,8.5962039462,10.2381867614,23.3544391606,9.1230553156,28.2309915644,80.4320152159,12.3074227788,12.6486834467,23.1691975984,0.0,0.0,12.1471444453,0.0,0.0,0.0,12.7802663419,0.0,69.8790166832,69.1558571555,13.5585130711,15.0622500377
ORNDEG-PWY: superpathway of ornithine degradation,0.0,0.0,13.4774151395,0.0,393.0886815267,1.3947076524,0.0,16.2082053969,20.5724385434,1.1884974177,0.0,0.0,0.0,15.3651956995,0.0,1.463866362,6.8694721924,0.0,0.0,2.4481808167,1.5012266237,0.0,0.0,4.9632455816,0.0,0.0,7.3840866248,31.2437292323,0.0,3.075353528
PWY-5384: sucrose degradation IV (sucrose phosphorylase),10.7317360241,13.8805254935,0.0,13.0107830119,432.3662200702,0.0,65.4097706516,14.5890205039,32.1746222179,4.9786767874,13.9013697799,4.2727987556,2.0490139813,21.6828209526,2.5292399829,10.0665866997,4.0101158741,2.4565775715,0.0,4.5485044286,30.6656557941,10.2427209139,0.0,55.2773304354,6.0916611106,4.3442988028,19.7549352851,46.4977181261,5.5540567855,8.296904957
PWY-1042: glycolysis IV (plant cytosol),1331.69942217,615.3021136957,1374.6355462149,961.334618678,1662.7374037272,1320.3904787689,641.745952949,720.55085227,901.0664966439,600.8842501358,410.1966646232,556.5017529145,814.0570908457,831.3151581046,523.8712030636,345.0391317804,796.8277593706,969.587633665,1648.3257832438,967.1971954359,1334.8390354905,572.2700001873,1525.9234235846,1269.0982480462,1717.8330916654,101.3522025586,620.6645044283,753.0334725503,463.5020294111,310.1524351002
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0.0,0.0,18.6056066138,49.6724844703,11.875353081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5052585624,0.0,0.0,0.0,0.0,0.0,51.7183179896,10.2497316284,1.74207754,0.0,0.858780543,40.8042641761,6.6317431907
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.695182222,0.0,0.0,0.0
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic),19.1569367479,0.0,28.5565138651,2.9679888147,13.0133877186,12.5326908757,34.6679007073,69.9160910808,34.7365334335,7.1943067231,2.6000745908,31.870262221,18.1480037001,23.718033029,46.2539004781,21.8590676006,13.8582273712,18.636345387,2.682768192,0.0,6.1548653357,0.0,0.0,5.9541500396,2.6143976367,7.6441555172,23.1877000004,44.9251714524,4.7169140038,5.0189522787
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",81.7073647948,8.4231132092,416.4660490658,13.3378066503,42.0759237523,33.494768836,10.6284549157,84.2179189734,0.0,2.8042957734,0.6449532634,2.6365249086,10.7659564211,20.6665246049,52.3126149209,3.1758360311,5.4993722408,27.9564481376,161.7407233899,15.1239574867,2.5964249136,0.0,0.0,18.965322919,16.3918687747,2.2248411498,13.169217859,30.3817544424,6.3446140933,1.1510511257
PWY-5505: L-glutamate and L-glutamine biosynthesis,4.8703908283,12.2384271288,17.8600754464,19.0882909505,183.8060640934,7.1914096529,65.4309117896,130.6243498578,0.0,8.2430566076,7.0712633734,1.1878014457,1.1986735601,51.3263534969,77.2020558929,35.1722798039,7.4462332274,48.5539850567,0.0,2.4800998666,4.919278906,0.0,0.0,46.0057435864,0.0,4.7163876088,14.3046175991,11.0341660475,8.5170165267,11.1708503365
PWY0-321: phenylacetate degradation I (aerobic),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1996668874,0.0,0.0,0.0,0.0,8.9495966004,0.0,0.0,0.0,1.9985267526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0392665367,0.0,0.0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,91.9391997023,387.5772526423,52.2880234441,54.7906857584,1080.453776631,191.3591732109,71.851492196,185.5544734182,111.3113691409,17.1689612754,16.9499937774,160.0652206055,34.4091158732,99.3835637258,175.3017862404,47.3144885752,190.094831736,46.8188460943,128.6185978711,53.3830699904,37.0074678301,13.9409434666,267.5035542617,452.8740948892,490.5934336364,293.935688236,80.1461486638,178.4004032673,98.7644734549,25.3623208001
P161-PWY: acetylene degradation,61.7412153611,57.7984302947,27.825980007,37.5399540134,360.8411321377,1.663754813,34.2228447822,79.9409992275,26.1062378877,8.5891529267,6.7925275431,96.0432242066,20.1164019208,83.6544163299,145.7960065526,36.4259725435,22.7675599004,31.9751143787,0.0,2.7499929329,13.3093942997,0.0,23.869798715,19.3278588787,22.3219148995,22.475870233,26.958686535,142.9162517619,11.7936643713,2.4799929287
PWY-7199: pyrimidine deoxyribonucleosides salvage,371.3055434978,52.616728192,174.6391313612,242.9064646431,751.7925051602,263.8639348313,177.5218409753,86.5803346286,109.9767830363,63.7391302737,22.9169988769,199.327291712,46.0062524994,79.1043089672,192.601126321,123.3455820887,278.0972933044,308.7890012694,260.7555531975,312.3083683103,222.7760463538,185.2812699558,389.8289962961,230.1483417657,131.5244680006,30.9998816437,54.8878998429,280.2951981836,75.5303653685,39.5504759407
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,236.4849711776,196.0035165733,470.4921121748,186.6777674519,145.1476046432,134.0988491255,166.0114339501,153.7384700793,106.2807263613,163.7264751887,154.4932576113,75.7632604051,63.4109492551,87.1600828777,117.5045101189,37.6997129154,22.9621584257,174.6453807744,88.6857755037,120.5816356043,207.0937723275,140.6275350806,227.8020217401,381.8025722759,327.6222862273,0.0,272.0829100602,198.040878388,220.0848979192,157.1038759968
PWY-6317: galactose degradation I (Leloir pathway),794.818689726,364.6845117963,687.0523336701,698.4619152429,935.1859606163,756.4229700001,209.6134797583,105.69033854,105.3118758777,142.2459376443,154.7088521478,171.8427135526,63.5597539707,229.1169561718,132.7908343609,87.5766218267,278.9046102029,471.0673909038,828.3010342698,705.3967424664,521.1501254463,302.4436775932,740.5807535484,674.7626585013,1237.3930285188,311.2757779901,189.1519985064,362.5694485574,292.3441426464,140.742668858
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch),992.606030663,707.016014231,928.6501292277,1016.519630801,973.8513829676,888.4954543505,338.6849048117,640.4760353285,563.503071333,388.984315996,509.8754486994,305.81092821,516.3086207797,664.8497651048,423.6117825933,254.7838157271,674.1853572979,773.2926254012,1119.4120695235,796.7085016222,773.5964893862,492.9889263198,1186.4265363067,904.6539014922,1578.4757212843,400.9036371422,649.7049685088,503.2913595454,303.4745598774,292.7378621045
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,4.4975992945,7.901488644,13.9066245653,5.3000887637,361.9352507615,0.0,12.0546341726,12.1808453124,26.2187516289,2.4136609299,1.0272853545,32.0711837489,6.8716126405,22.2440167599,68.3243513628,21.4147201963,4.03310547,5.4219877955,0.0,0.0,0.0,0.0,0.0,1.5773354157,0.0,0.0,11.1594551365,35.9692075933,1.4656958052,4.4733342066
PANTO-PWY: phosphopantothenate biosynthesis I,757.9649813049,688.3000449774,642.4983985493,368.7357789146,992.1256243369,675.7261553245,923.6709236552,895.6915574463,1104.1332004303,917.1205383445,695.5279156551,594.7084885356,890.5245240701,549.9120938433,359.8663446676,517.6992143154,760.1393326713,737.2458153567,715.3974280152,508.0240187041,603.17287974,339.1176441388,586.6353984517,489.3402251897,737.6655767599,588.8046249558,921.779755782,823.5449247043,543.4846595897,150.9188842741
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,210.5206140879,225.3692803167,340.5661061515,140.155110937,341.1123056633,182.5029906024,216.7152175572,203.3779320539,117.6215711986,144.9729281547,324.7658954344,159.1420610891,172.6162479409,241.6932563652,297.5529236321,73.9458031786,294.6239055393,402.4743428634,290.6229519559,97.8904600003,222.3393956107,135.9014223752,150.8514623636,393.2952701383,334.9937737084,152.2222063582,545.7541505452,182.8536966692,187.5503345943,177.7509579588
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),18.8618480223,9.8232696386,26.46492033,17.4898896998,584.3500425652,0.0,52.5981954046,54.6316008423,25.9700250536,5.4396031852,3.1865167751,35.8018623645,10.4942356837,16.7105243881,60.8632575764,20.6050490611,6.865439063,19.5870743996,0.0,0.0,6.9617505794,0.0,0.0,2.1783257133,1.3585449464,2.5501768647,31.7274680146,37.1087765012,2.6818764471,5.4576594258
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",29.538359223,31.3711744927,45.083939121,23.826963466,791.6334659446,0.0,108.4985682637,108.4586826027,66.3682276277,10.7151496415,8.4497345723,94.4141935564,17.0137608709,22.1984162592,45.8410941059,16.763605962,26.6086067598,21.7152197895,1.2291911059,0.0,10.3398145175,0.0,9.914827067,31.7724753882,20.9400103281,4.0175102692,86.0514080588,72.337171452,10.8195174075,14.7059049026
TRPSYN-PWY: L-tryptophan biosynthesis,290.8695360312,275.1742168934,392.5333413979,404.4136938041,849.048871654,254.6880867939,307.9196278264,248.8069428093,281.0454230058,190.1092826689,57.9729731099,153.1100553146,92.4640002982,354.2297295642,117.548655982,70.6738098825,334.9627971581,317.7605928868,359.3118622048,237.5028423569,337.9263679331,66.6569656473,378.3449500815,334.5618966741,138.2414357271,176.051752435,257.8211225918,283.3159577444,140.5413109243,152.387506334
PWY0-41: allantoin degradation IV (anaerobic),3.1209087381,0.0,0.0,0.0,45.2191471109,0.0,0.0,0.0,0.0,0.0,1.0312946134,0.0,0.0,8.9884901466,0.0,0.0,0.0,2.8589722771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8714462712,20.1453113806,2.134330851,0.0
GALACTARDEG-PWY: D-galactarate degradation I,4.4975992945,7.901488644,13.9066245653,5.3000887637,361.9352507615,0.0,12.0546341726,12.1808453124,26.2187516289,2.4136609299,1.0272853545,32.0711837489,6.8716126405,22.2440167599,68.3243513628,21.4147201963,4.03310547,5.4219877955,0.0,0.0,0.0,0.0,0.0,1.5773354157,0.0,0.0,11.1594551365,35.9692075933,1.4656958052,4.4733342066
