Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
PWY-5899: superpathway of menaquinol-13 biosynthesis,435.3324650362,632.0091364396,587.1521726914,286.2134491314,3872.316151159,33.6202146798,327.2928572797,541.1336554212,20.1085834415,0.0,116.8148830886,0.0,52.002809125,354.0003248456,280.3638220408,95.5814871497,1273.4096817022,1066.0969384886,180.4613783689,152.3255928213
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,4923.4568233096,138.4427806903,2058.5472582648,1923.3684931585,5818.7217144526,3504.7247126664,2334.8447808217,2842.7113221712,2109.8076960528,2833.8110239047,2609.6902160017,1908.4380154425,1609.9059679789,2853.4636373479,4622.6763800554,40.6123629174,449.1699257249,2434.8377277046,615.0476117636,385.9384947859
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I,6487.690107589,2545.09661072,2163.3030840104,4228.9387338386,4450.5168887604,4221.400414161,3314.9779189085,3801.8512822607,4169.6886961852,3762.1696186176,3869.562343137,2617.3988061558,4329.58286367,3953.9268458012,6172.2249101137,1298.2108567359,3131.294798209,2187.2251718894,2021.1316568189,931.1546213992
PWY-7208: superpathway of pyrimidine nucleobases salvage,1303.1033019837,1375.5341992417,4664.84337687,1016.3598753886,1561.5913539625,1948.9934863566,1964.4983586427,2269.100103528,5740.0980074855,2115.6372798502,3089.206138635,683.1396065838,3615.442097087,2695.2465430575,1828.2444989291,2149.9272833511,3345.7476936275,1118.0363759186,1093.4633121393,1001.7435038821
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate),1319.8365091492,154.7084475428,3572.2178127339,2380.4227213817,3963.9281790193,1885.8180915428,1538.2360428791,1595.1823638411,2079.1349541929,1546.8644753577,2068.7989508271,859.361261407,2966.7654704584,1719.6199596144,1148.2686496146,476.1650680541,1381.7789135595,1222.8865928701,1497.2736083915,1041.5238274768
PWY-622: starch biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,9.6649395604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3342811801,0.0
REDCITCYC: TCA cycle VIII (helicobacter),286.9948850197,86.4402462183,105.3903781414,253.739247672,865.7002296282,35.1631794076,84.8902778706,159.0699606759,316.3891828082,38.2647865246,75.0748380918,0.0,17.0438362026,46.9068659903,42.1035506296,55.3503338748,218.2247355127,351.5875205834,30.0465287708,114.8011357673
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,2815.4867431784,2582.5698069517,3541.320896686,2014.2385990994,3631.8368927209,2264.6253182505,3400.45050348,3836.6203297439,3093.8393094123,1360.499693869,2610.174723274,1259.9864340508,1597.4943465756,4340.4552233697,3658.826396413,3294.2787618685,4526.2574557278,2350.280930399,1958.8492235552,1556.2658361005
PWY-2942: L-lysine biosynthesis III,5097.8198679957,5907.4530052043,5985.0629472368,3697.0940670361,4545.3682848348,4881.5836903596,5391.4584229798,4996.3563641829,5427.5547372678,3862.8503593734,4438.8124405481,2489.8894271257,5735.0595068251,5319.6677150386,6380.0462892777,4717.1635334244,5706.1431210802,6529.3498697678,3893.9347943834,1693.6906400525
PWY-5747: 2-methylcitrate cycle II,34.0885716471,0.0,0.0,44.5360623589,357.1101330591,3.9633503994,22.8294094423,25.4527795792,0.0,0.0,3.4152983712,0.0,0.0,0.0,4.8243690998,1.6305046917,0.0,43.4449840281,11.1842321761,13.1665739807
