"Org1"	"Org2"	"corr_val"	"q_val"	"p_val"	"Organism1"	"Organism2"	"abscorr"	"corrvalround"	"corrvalposneg"
"Alistipes putredinis"	"Alistipes onderdonkii"	0.201391507774531	0.0367716556810346	6.50901031806847e-05	"A. putredinis"	"A. onderdonkii"	0.201391507774531	0.2	"Pos"
"Escherichia unclassified"	"Alistipes onderdonkii"	-0.139097263479147	2.07578113613876	0.0312321773265312	"E. unclassified"	"A. onderdonkii"	0.139097263479147	-0.14	"Neg"
"Alistipes onderdonkii"	"Alistipes putredinis"	0.201391507774531	0.0367716556810346	6.50901031806847e-05	"A. onderdonkii"	"A. putredinis"	0.201391507774531	0.2	"Pos"
"Alistipes shahii"	"Alistipes putredinis"	0.082273212871266	2.00217843999438	0.0239225972318673	"A. shahii"	"A. putredinis"	0.082273212871266	0.08	"Pos"
"Bacteroides fragilis"	"Alistipes putredinis"	-0.148818914053248	1.88106794588297	0.0166485441598637	"B. fragilis"	"A. putredinis"	0.148818914053248	-0.15	"Neg"
"Bacteroides massiliensis"	"Alistipes putredinis"	0.104679779718973	1.83489380196188	0.0178638637765482	"B. massiliensis"	"A. putredinis"	0.104679779718973	0.1	"Pos"
"Bacteroides ovatus"	"Alistipes putredinis"	-0.162973871302641	2.03971970877374	0.026176421427733	"B. ovatus"	"A. putredinis"	0.162973871302641	-0.16	"Neg"
"Ruminococcus bromii"	"Alistipes putredinis"	0.169699784395541	0.527271651289217	0.00233333022072529	"R. bromii"	"A. putredinis"	0.169699784395541	0.17	"Pos"
"Alistipes putredinis"	"Alistipes shahii"	0.082273212871266	2.00217843999438	0.0239225972318673	"A. putredinis"	"A. shahii"	0.082273212871266	0.08	"Pos"
"Escherichia unclassified"	"Bacteroides caccae"	-0.125269306572236	2.49746168144785	0.0431027743071173	"E. unclassified"	"B. caccae"	0.125269306572236	-0.13	"Neg"
"Parabacteroides merdae"	"Bacteroides caccae"	0.116557714681135	2.50444931519694	0.0421150797406136	"P. merdae"	"B. caccae"	0.116557714681135	0.12	"Pos"
"Bacteroides ovatus"	"Bacteroides dorei"	0.0920201842610215	2.05660262992609	0.0318537241636971	"B. ovatus"	"B. dorei"	0.0920201842610215	0.09	"Pos"
"Bacteroides thetaiotaomicron"	"Bacteroides dorei"	0.102349552439981	1.53000395964212	0.00880192555122854	"B. thetaiotaomicron"	"B. dorei"	0.102349552439981	0.1	"Pos"
"Bacteroides uniformis"	"Bacteroides dorei"	0.233253760767877	0.0174488729859821	2.3164899472354e-05	"B. uniformis"	"B. dorei"	0.233253760767877	0.23	"Pos"
