UniRef90	KIDS	GeneName
UniRef90_A0LG57	K01843	kamA
UniRef90_A0LQI2	K01843	kamA
UniRef90_A1AMY4	K01843	kamA
UniRef90_A1APV7	K01843	kamA
UniRef90_A1B2L9	K01843	kamA
UniRef90_A1SK29	K01843	kamA
UniRef90_A2SQB5	K01843	kamA
UniRef90_A3CRZ9	K01843	kamA
UniRef90_A3PRS7	K01843	kamA
UniRef90_A4FXI7	K01843	kamA
UniRef90_A4FZL4	K01843	kamA
UniRef90_A4J2H6	K01843	kamA
UniRef90_A4J6G2	K01843	kamA
UniRef90_A4SFW9	K01843	kamA
UniRef90_A4WXI2	K01843	kamA
UniRef90_A4X762	K01843	kamA
UniRef90_A5D4Q0	K01843	kamA
UniRef90_A5EIT7	K01843	kamA
UniRef90_A5EVE9	K01843	kamA
UniRef90_A5G138	K01843	kamA
UniRef90_A5G3G9	K01843	kamA
UniRef90_A6L9L9	K01843	kamA
UniRef90_A6TRS1	K01843	kamA
UniRef90_A6TWQ6	K01843	kamA
UniRef90_A6UF64	K01843	kamA
UniRef90_A6URH1	K01843	kamA
UniRef90_A6URJ9	K01843	kamA
UniRef90_A6UTK8	K01843	kamA
UniRef90_A7H9X7	K01843	kamA
UniRef90_A7H9X8	K01843	kamA
UniRef90_A7IM89	K01843	kamA
UniRef90_A8ACA6	K01843	kamA
UniRef90_A8F4H1	K01843	kamA
UniRef90_A8FUA6	K01843	kamA
UniRef90_A8IDE8	K01843	kamA
UniRef90_A8MLR3	K01843	kamA
UniRef90_A8ZSG0	K01843	kamA
UniRef90_A8ZW83	K01843	kamA
UniRef90_A9BG43	K01843	kamA
UniRef90_A9CHN5	K01843	kamA
UniRef90_A9ESY4	K01843	kamA
UniRef90_A9G2E4	K01843	kamA
UniRef90_A9H6E4	K01843	kamA
UniRef90_A9KRE1	K01843	kamA
UniRef90_A9W6W0	K01843	kamA
UniRef90_B0SUL6	K01843	kamA
UniRef90_B0UJ97	K01843	kamA
UniRef90_B1HQR4	K01843	kamA
UniRef90_B1I0T9	K01843	kamA
UniRef90_B1I3I2	K01843	kamA
UniRef90_B1M2B3	K01843	kamA
UniRef90_B1ZHM6	K01843	kamA
UniRef90_B1ZY00	K01843	kamA
UniRef90_B2A3K4	K01843	kamA
UniRef90_B2A5I5	K01843	kamA
UniRef90_B2A640	K01843	kamA
UniRef90_B2ALX0	K01843	kamA
UniRef90_B2ID18	K01843	kamA
UniRef90_B2RJZ0	K01843	kamA
UniRef90_B2V906	K01843	kamA
UniRef90_B3DWI2	K01843	kamA
UniRef90_B3E3K0	K01843	kamA
UniRef90_B3ED89	K01843	kamA
UniRef90_B3EJE9	K01843	kamA
UniRef90_B3EKN2	K01843	kamA
UniRef90_B3PRW9	K01843	kamA
UniRef90_B3QHV6	K01843	kamA
UniRef90_B3QPE7	K01843	kamA
UniRef90_B4RHN7	K01843	kamA
UniRef90_B4S711	K01843	kamA
UniRef90_B4U6M3	K01843	kamA
UniRef90_B4UIC8	K01843	kamA
UniRef90_B4UIC9	K01843	kamA
UniRef90_B5EFU3	K01843	kamA
UniRef90_B5ZU66	K01843	kamA
UniRef90_B6IU10	K01843	kamA
UniRef90_B6JHI0	K01843	kamA
UniRef90_B6YXE4	K01843	kamA
UniRef90_B7IFQ3	K01843	kamA
UniRef90_B8EJM3	K01843	kamA
UniRef90_B8FCC2	K01843	kamA
UniRef90_B8FIP6	K01843	kamA
UniRef90_B8G275	K01843	kamA
UniRef90_B8IS63	K01843	kamA
UniRef90_B8NQC1	K01843	kamA
UniRef90_B9JDH9	K01843	kamA
UniRef90_B9K2E3	K01843	kamA
UniRef90_B9M212	K01843	kamA
UniRef90_C0Q8U6	K01843	kamA
UniRef90_C0QGM4	K01843	kamA
UniRef90_C0QJZ2	K01843	kamA
UniRef90_C0QTX4	K01843	kamA
UniRef90_C1DXE9	K01843	kamA
UniRef90_C3MCN6	K01843	kamA
UniRef90_C5CH06	K01843	kamA
UniRef90_C6AZV9	K01843	kamA
UniRef90_C6BRY3	K01843	kamA
UniRef90_C6C093	K01843	kamA
UniRef90_C6WCY0	K01843	kamA
UniRef90_C6WLD6	K01843	kamA
UniRef90_C6XGN5	K01843	kamA
UniRef90_C6XKD3	K01843	kamA
UniRef90_C7LSF1	K01843	kamA
UniRef90_C7LTQ3	K01843	kamA
UniRef90_C7LW49	K01843	kamA
UniRef90_C8W2K3	K01843	kamA
UniRef90_C8W664	K01843	kamA
UniRef90_C8W665	K01843	kamA
UniRef90_C8X0P1	K01843	kamA
UniRef90_C9R880	K01843	kamA
UniRef90_C9RGK7	K01843	kamA
UniRef90_D0LHG0	K01843	kamA
